,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39711973
source,MED
pmid,39711973
pmcid,PMC11662975
fullTextIdList,{'fullTextId': 'PMC11662975'}
doi,10.1515/biol-2022-1011
title,Antioxidant and antimicrobial activities of <i>Salsola imbricata</i> methanolic extract and its phytochemical characterization.
authorString,"Aamer HA, Elalem SF, Al-Askar AA, Sharaf OA, Gaber MA, Kowalczewski P, Behiry S, Abdelkhalek A."
authorList,"{'author': [{'fullName': 'Aamer HA', 'firstName': 'Helmy A', 'lastName': 'Aamer', 'initials': 'HA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry and Technology of Pesticide, Agriculture Faculty (El-Shatby), Alexandria University, Alexandria, 21545, Egypt.'}}}, {'fullName': 'Elalem SF', 'firstName': 'Saad F', 'lastName': 'Elalem', 'initials': 'SF', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Physical Education and Sport Sciences, Al-Mustaqbal University, Babylon, Iraq.'}}}, {'fullName': 'Al-Askar AA', 'firstName': 'Abdulaziz A', 'lastName': 'Al-Askar', 'initials': 'AA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botany and Microbiology, College of Science, King Saud University, P.O. Box 2455, Riyadh, 11451, Saudi Arabia.'}}}, {'fullName': 'Sharaf OA', 'firstName': 'Omaima A', 'lastName': 'Sharaf', 'initials': 'OA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agricultural Microbiology, National Research Centre, Cairo, 12622, Egypt.'}}}, {'fullName': 'Gaber MA', 'firstName': 'Mahmoud A', 'lastName': 'Gaber', 'initials': 'MA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Plant Pathology, Faculty of Agriculture (El-Shatby), Alexandria University, Alexandria, 21545, Egypt.'}}}, {'fullName': 'Kowalczewski P', 'firstName': 'Przemysław', 'lastName': 'Kowalczewski', 'initials': 'P', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Food Technology of Plant Origin, Poznań University of Life Sciences, Poznań, Poland.'}}}, {'fullName': 'Behiry S', 'firstName': 'Said', 'lastName': 'Behiry', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Agricultural Botany Department, Faculty of Agriculture (Saba Basha), Alexandria University, Alexandria, 21531, Egypt.'}}}, {'fullName': 'Abdelkhalek A', 'firstName': 'Ahmed', 'lastName': 'Abdelkhalek', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Plant Protection and Biomolecular Diagnosis Department, Arid Lands Cultivation Research Institute, City of Scientific Research and Technological Applications, Alexandria, 21934, Egypt.'}}}]}"
journalInfo,"{'issue': '1', 'volume': '19', 'journalIssueId': '3700790', 'dateOfPublication': '2024', 'monthOfPublication': '0', 'yearOfPublication': '2024', 'printPublicationDate': '2024-01-01', 'journal': {'title': 'Open life sciences', 'ISOAbbreviation': 'Open Life Sci', 'medlineAbbreviation': 'Open Life Sci', 'NLMid': '101669614', 'ISSN': '2391-5412', 'ESSN': '2391-5412'}}"
pubYear,2024
pageInfo,20221011
abstractText,"Methanolic extract from <i>Salsola imbricata</i> was investigated for its phytochemical content, antioxidant, and antimicrobial properties against phytopathogenic fungi and bacteria. Phytochemical analysis revealed the presence of saponin, tannins, and alkaloids with 1.25%, 18.8 mg catechin/g of extract, and 9.12%, respectively. Total flavonoid content was 20.8 mg quercetin equivalent/g while total phenolic content was 202 mg gallic acid equivalent/g. Antioxidant activity using the 2,2-diphenyl-1-picrylhydrazyl assay resulted in an IC<sub>50</sub> value of 48.61 µg/mL, while the phosphomolybdenum method yielded a value of 215.43 mg ascorbic acid equivalent/g of extract. The highest phenolic acids detected in the extract were gallic acid (712.97 µg/g), syringic acid (742.7 µg/g), and caffeic acid (474.70 µg/g) according to high-performance liquid chromatography analysis. Palmitic acid (28.38%) dominated the fatty acids identified by gas chromatography-mass spectrometry, while stigmasterol (8.34%) was the most abundant steroid. At a concentration of 3 mg/mL, the extract showed strong antibacterial activity against <i>Pectobacterium carotovorum</i> (10.50 mm), <i>Ralstonia solanacearum</i> (9.93 mm), and <i>Pectobacterium atrosepticum</i> (8.37 mm). Additionally, the extract significantly suppressed fungal growth of <i>Rhizoctonia solani</i> (38.22%) and <i>Fusarium oxysporum</i> (33.56%) but showed lower activity toward <i>Botrytis cinerea</i> (13.33%) at 5 mg/mL. In conclusion, <i>S. imbricata</i> extract exhibited promising antioxidant and antimicrobial properties, making it a potential candidate for further exploration in agricultural applications."
affiliation,"Department of Chemistry and Technology of Pesticide, Agriculture Faculty (El-Shatby), Alexandria University, Alexandria, 21545, Egypt."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['HPLC', 'Antioxidant', 'Antimicrobial activity', 'Gc–ms', 'Salsola Imbricata', 'Soil-born Fungi']}"
