,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39280287
source,MED
pmid,39280287
pmcid,PMC11391997
fullTextIdList,{'fullTextId': 'PMC11391997'}
doi,10.52225/narra.v4i2.894
title,Uncovering anti-inflammatory potential of <i>Lantana camara</i> Linn: Network pharmacology and in vitro studies.
authorString,"Khairan K, Maulydia NB, Faddillah V, Tallei TE, Fauzi FM, Idroes R."
authorList,"{'author': [{'fullName': 'Khairan K', 'firstName': 'Khairan', 'lastName': 'Khairan', 'initials': 'K', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-3028-6022'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Pharmacy, Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}, {'affiliation': 'Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}, {'affiliation': 'Pusat Riset Obat Herbal, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}]}}, {'fullName': 'Maulydia NB', 'firstName': 'Nur B', 'lastName': 'Maulydia', 'initials': 'NB', 'authorId': {'@type': 'ORCID', '#text': '0009-0000-6497-5825'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Graduate School of Mathematics and Applied Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}}}, {'fullName': 'Faddillah V', 'firstName': 'Vira', 'lastName': 'Faddillah', 'initials': 'V', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Pharmacy, Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}}}, {'fullName': 'Tallei TE', 'firstName': 'Trina E', 'lastName': 'Tallei', 'initials': 'TE', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biology, Faculty of Mathematics and Natural Sciences, Universitas Sam Ratulangi, Manado, Indonesia.'}}}, {'fullName': 'Fauzi FM', 'firstName': 'Fazlin M', 'lastName': 'Fauzi', 'initials': 'FM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Faculty of Pharmacy, Universiti Teknologi MARA Selangor, Puncak Alam Campus, Bandar Puncak Alam, Malaysia.'}}}, {'fullName': 'Idroes R', 'firstName': 'Rinaldi', 'lastName': 'Idroes', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Pharmacy, Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}, {'affiliation': 'Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}, {'affiliation': 'Pusat Riset Obat Herbal, Universitas Syiah Kuala, Banda Aceh, Indonesia.'}]}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-1572-9449'}, {'@type': 'ORCID', '#text': '0000-0003-3028-6022'}, {'@type': 'ORCID', '#text': '0009-0000-6497-5825'}]}"
journalInfo,"{'issue': '2', 'volume': '4', 'journalIssueId': '3829554', 'dateOfPublication': '2024 Aug', 'monthOfPublication': '8', 'yearOfPublication': '2024', 'printPublicationDate': '2024-08-01', 'journal': {'title': 'Narra J', 'ISOAbbreviation': 'Narra J', 'medlineAbbreviation': 'Narra J', 'NLMid': '9918625888906676', 'ISSN': '2807-2618', 'ESSN': '2807-2618'}}"
pubYear,2024
pageInfo,e894
abstractText,"<i>Lantana camara</i> Linn contains a diverse array of metabolites that exhibit therapeutic potential. The aim of this study was to evaluate the potential of <i>L. camara</i> leaves, which were collected at the Ie-Seu'um geothermal area in Aceh, Indonesia, as an anti-inflammatory through network pharmacology and in vitro analysis. The ethanolic extract derived from <i>L. camara</i> underwent identification utilizing gas chromatography-mass spectrometry (GC-MS) to verify chemical constituents for drug-likeness properties. The evaluation of anti-inflammatory activity included network pharmacology and a series of in vitro investigations using two methods: protein inhibition and albumin denaturation assays. The findings revealed that the extract contained a domination of terpenoids and fatty acids class, which met the evaluation criteria of drug-likeness. Network pharmacology analysis identified the top five key proteins (peroxisome proliferator-activated receptor gamma, prostaglandin G/H synthase 2, epidermal growth factor receptor, hypoxia-inducible factor 1-alpha, and tyrosine protein kinase-Janus kinase 2) involved in inflammation-related protein-protein interactions. Gene ontology enrichment highlighted the predominance of inflammatory responses in biological processes (BP), cytoplasm in cellular components (CC), and oxidoreductase activity in molecular functions (MF). In vitro analysis showed that the extract inhibited protein activity and protein denaturation with inhibitory concentration (IC<sub>50</sub>) values of 202.27 and 223.85 ppm, respectively. Additionally, the extract had antioxidant activity with DPPH- and ABTS-scavenging IC<sub>50</sub> values of 140 ppm and 163 ppm, respectively. Toxicological assessment by brine shrimp lethality assay (BSLA), yielding a lethal concentration (LC<sub>50</sub>) value of 574 ppm (essentially non-toxic) and its prediction via ProTox 3.0 that indicated non-active in hepatotoxicity, carcinogenicity, immunotoxicity, mutagenicity, and cytotoxicity. These results suggested that <i>L. camara</i> holds noteworthy effectiveness as a potential candidate for complementary medicine in the realm of inflammatory agents, warranting further investigation in clinical settings."
affiliation,"Department of Pharmacy, Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia."
publicationStatus,ppublish
language,eng
pubModel,Print-Electronic
pubTypeList,"{'pubType': [""Research Support, Non-U.S. Gov't"", 'research-article', 'Journal Article']}"
