,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39940602
source,MED
pmid,39940602
pmcid,PMC11820508
fullTextIdList,{'fullTextId': 'PMC11820508'}
doi,10.3390/polym17030400
title,Poly(vinyl alcohol) Nanocomposites Reinforced with CuO Nanoparticles Extracted by <i>Ocimum sanctum</i>: Evaluation of Wound-Healing Applications.
authorString,"Pattadakal S, Ghatti V, Chapi S, G V, Kumarswamy YK, Raghu MS, T VG, Nandihalli N, Kasai DR."
authorList,"{'author': [{'fullName': 'Pattadakal S', 'firstName': 'Shrishail', 'lastName': 'Pattadakal', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Faculty of Engineering and Technology, Jain University, Jakkasandra, Bengaluru 562112, Karnataka, India.'}}}, {'fullName': 'Ghatti V', 'firstName': 'Vanita', 'lastName': 'Ghatti', 'initials': 'V', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Faculty of Engineering and Technology, Jain University, Jakkasandra, Bengaluru 562112, Karnataka, India.'}}}, {'fullName': 'Chapi S', 'firstName': 'Sharanappa', 'lastName': 'Chapi', 'initials': 'S', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-1798-5278'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Physics, B.M.S. College of Engineering, Bengaluru 560019, Karnataka, India.'}}}, {'fullName': 'G V', 'firstName': 'Vidya', 'lastName': 'G', 'initials': 'V', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7815-5542'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Dayananda Sagar College of Engineering, SM Hills, Kumaraswamy Layout, Bengaluru 560011, Karnataka, India.'}}}, {'fullName': 'Kumarswamy YK', 'firstName': 'Yogesh Kumar', 'lastName': 'Kumarswamy', 'initials': 'YK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Faculty of Engineering and Technology, Jain University, Jakkasandra, Bengaluru 562112, Karnataka, India.'}}}, {'fullName': 'Raghu MS', 'firstName': 'M S', 'lastName': 'Raghu', 'initials': 'MS', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, New Horizon College of Engineering, Bengaluru 560103, Karnataka, India.'}}}, {'fullName': 'T VG', 'firstName': 'Vidyavathi G', 'lastName': 'T', 'initials': 'VG', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, RNS Institute of Technology, Rajarajeshwari Nagar, Bengaluru 560098, Karnataka, India.'}}}, {'fullName': 'Nandihalli N', 'firstName': 'Nagaraj', 'lastName': 'Nandihalli', 'initials': 'N', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-7067-5394'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Critical Materials Innovation Hub, Ames National Laboratory, U.S. Department of Energy, Iowa State University, Ames, IA 50011, USA.'}}}, {'fullName': 'Kasai DR', 'firstName': 'Deepak R', 'lastName': 'Kasai', 'initials': 'DR', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Faculty of Engineering and Technology, Jain University, Jakkasandra, Bengaluru 562112, Karnataka, India.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0001-7067-5394'}, {'@type': 'ORCID', '#text': '0000-0002-1798-5278'}, {'@type': 'ORCID', '#text': '0000-0002-7815-5542'}]}"
journalInfo,"{'issue': '3', 'volume': '17', 'journalIssueId': '3901569', 'dateOfPublication': '2025 Feb', 'monthOfPublication': '2', 'yearOfPublication': '2025', 'printPublicationDate': '2025-02-01', 'journal': {'title': 'Polymers', 'ISOAbbreviation': 'Polymers (Basel)', 'medlineAbbreviation': 'Polymers (Basel)', 'NLMid': '101545357', 'ISSN': '2073-4360', 'ESSN': '2073-4360'}}"
pubYear,2025
pageInfo,400
abstractText,"This study focused on the synthesis of plant-mediated copper-oxide nanoparticles (OsCuONPs) via the sol-gel technique and the fabrication of OsCuONP-infused PVA composite films (POsCuONPs) utilizing the solvent casting method for wound-healing applications. The prepared OsCuONPs and nanocomposite films were characterized using UV-visible spectra, FTIR, SEM, XRD, TGA, water contact-angle (WCA) measurements, and a Universal testing machine (UTM) for mechanical property measurements. The UV and FTIR tests showed that OsCuONPs were formed and were present in the PVA composite film. Moreover, the mechanical study confirmed that there is an increase in the tensile strength (<i>T</i><sub>S</sub>) and Young's modulus (<i>Y</i><sub>m</sub>) with 21.75 MPa to 32.50 MPa for <i>T</i><sub>S</sub> and 24.80 MPa to 1128.36 MPa for <i>Y</i><sub>m</sub>, and a decrease in the % elongation at break (<i>E</i><sub>b</sub>) (394.32 to 75.6). The TGA and WCA study results demonstrated that PVA films containing OsCuONPs are more stable when subjected to high temperatures and demonstrate a decreased hydrophilicity (60.89° to 89.62°). The cytotoxicity and hemolysis tests showed that the CuONPs-3 containing composite films (PVA/OsCuONPs with a wt. ratio of 1.94/0.06) are safe to use, have a good level of cell viability, and do not break down blood. This is true even at high concentrations. The study also discovered that cells moved considerably in 12 and 24 h (13.12 to 19.26 for OsCuONPs and 312.53 to 20.60 for POsCuONPs), suggesting that 60% of the gaps were filled. Therefore, the fabricated POsCuONP nanocomposites may serve as a promising option for applications in wound healing."
affiliation,"Department of Chemistry, Faculty of Engineering and Technology, Jain University, Jakkasandra, Bengaluru 562112, Karnataka, India."
publicationStatus,epublish
language,eng
