,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39683344
source,MED
pmid,39683344
pmcid,PMC11643465
fullTextIdList,{'fullTextId': 'PMC11643465'}
doi,10.3390/nano14231954
title,"Impact of Plant Species on the Synthesis and Characterization of Biogenic Silver Nanoparticles: A Comparative Study of <i>Brassica oleracea</i>, <i>Corylus avellana</i>, and <i>Camellia sinensis</i>."
authorString,"Demirel Bayik G, Baykal B."
authorList,"{'author': [{'fullName': 'Demirel Bayik G', 'firstName': 'Gülçin', 'lastName': 'Demirel Bayik', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Environmental Engineering, Faculty of Engineering, Zonguldak Bulent Ecevit University, Zonguldak 67000, Turkey.'}}}, {'fullName': 'Baykal B', 'firstName': 'Busenur', 'lastName': 'Baykal', 'initials': 'B', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Environmental Engineering, Faculty of Engineering, Zonguldak Bulent Ecevit University, Zonguldak 67000, Turkey.'}}}]}"
dataLinksTagsList,{'dataLinkstag': 'supporting_data'}
journalInfo,"{'issue': '23', 'volume': '14', 'journalIssueId': '3872043', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Nanomaterials (Basel, Switzerland)', 'ISOAbbreviation': 'Nanomaterials (Basel)', 'medlineAbbreviation': 'Nanomaterials (Basel)', 'NLMid': '101610216', 'ISSN': '2079-4991', 'ESSN': '2079-4991'}}"
pubYear,2024
pageInfo,1954
abstractText,"The choice of plant species is crucial, as different plants provide unique biomolecules that influence nanoparticle characteristics. Biomolecules in plant extracts, such as proteins, amino acids, enzymes, polysaccharides, alkaloids, tannins, phenolics, saponins, terpenoids, and vitamins, act as stabilizing and reducing agents. This study explores the synthesis of silver nanoparticles (AgNPs) using leaf extracts from collard greens (<i>Brassica oleracea</i> var. <i>acephala</i>), hazelnut (<i>Corylus avellana</i> var. <i>avellana</i>), and green tea (<i>Camellia sinensis</i>). NPs were synthesized using silver nitrate (AgNO<sub>3</sub>) solution at two different molarities (1 mM and 5 mM) and characterized by UV-Vis spectroscopy, XRD, TEM, and FTIR. The Surface Plasmon Resonance (SPR) peaks appeared rapidly for hazelnut and green tea extracts, within 30 and 15 min, respectively, while collard greens extract failed to produce a distinct SPR peak. X-Ray Diffraction confirmed the formation of face-centered cubic silver. TEM analysis revealed high polydispersity and agglomeration in all samples, with particle size generally decreasing at higher AgNO<sub>3</sub> concentrations. However, hazelnut extract showed a slight increase in size at higher molarity. Among all samples, green tea-derived AgNPs synthesized with 5 mM AgNO<sub>3</sub> were the smallest and least polydisperse, highlighting the significant role of plant type in optimizing nanoparticle synthesis."
affiliation,"Department of Environmental Engineering, Faculty of Engineering, Zonguldak Bulent Ecevit University, Zonguldak 67000, Turkey."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
grantsList,"{'grant': {'grantId': '2021-770473330-01', 'agency': 'Zonguldak Bulent Ecevit University', 'orderIn': '0'}}"
keywordList,"{'keyword': ['Nanoparticle', 'Plant extract', 'Green Synthesis', 'Silver Nanoparticle']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/nano14231954'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11643465'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11643465?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,Y
citedByCount,1
hasData,Y
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,Y
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2024-12-17
firstIndexDate,2024-12-17
fullTextReceivedDate,2024-12-17
dateOfRevision,2025-01-04
electronicPublicationDate,2024-12-05
firstPublicationDate,2024-12-05
