,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39936149
source,MED
pmid,39936149
pmcid,PMC11811714
fullTextIdList,{'fullTextId': 'PMC11811714'}
doi,10.3897/bdj.13.e142217
title,"Woody flora of the Prof. Dr. Karl Arens Reserve, Corumbataí, São Paulo, Brazil."
authorString,"Santos LS, de Moraes PLR."
authorList,"{'author': [{'fullName': 'Santos LS', 'firstName': 'Lilian Silva', 'lastName': 'Santos', 'initials': 'LS', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Universidade Estadual Paulista (UNESP), Instituto de Biociências de Rio Claro, Programa de Pós-Graduação em Biologia Vegetal (Interunidades), Rio Claro, Brazil Universidade Estadual Paulista (UNESP), Instituto de Biociências de Rio Claro, Programa de Pós-Graduação em Biologia Vegetal (Interunidades) Rio Claro Brazil.'}}}, {'fullName': 'de Moraes PLR', 'firstName': 'Pedro Luís Rodrigues', 'lastName': 'de Moraes', 'initials': 'PLR', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-7965-9008'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Universidade Estadual Paulista (UNESP), Instituto de Biociências de Rio Claro, Departamento de Biodiversidade, Rio Claro, Brazil, Rio Claro, Brazil Universidade Estadual Paulista (UNESP), Instituto de Biociências de Rio Claro, Departamento de Biodiversidade, Rio Claro, Brazil Rio Claro Brazil.'}}}]}"
authorIdList,"{'authorId': {'@type': 'ORCID', '#text': '0000-0001-7965-9008'}}"
dataLinksTagsList,"{'dataLinkstag': ['altmetrics', 'supporting_data']}"
journalInfo,"{'volume': '13', 'journalIssueId': '3886076', 'dateOfPublication': '2025', 'monthOfPublication': '0', 'yearOfPublication': '2025', 'printPublicationDate': '2025-01-01', 'journal': {'title': 'Biodiversity data journal', 'ISOAbbreviation': 'Biodivers Data J', 'medlineAbbreviation': 'Biodivers Data J', 'NLMid': '101619899', 'ISSN': '1314-2828', 'ESSN': '1314-2828'}}"
pubYear,2025
pageInfo,e142217
abstractText,"<h4>Background</h4>This study was conducted in the Prof. Dr. Karl Arens Reserve, Corumbataí, São Paulo. The area is a <i>Cerrado</i> fragment, with no records of fire since 1962 and is characterised by the predominance of <i>Cerradão</i> phytophysiognomy. Although several studies have been conducted in the Reserve, there was no testimony material for some species in the Herbarium Rioclarense (HRCB), nor a list of vouchers for any taxon in the main publications. Thus, the objective of this work was to undertake a floristic survey of the woody species in the Reserve, based on herbarium specimens and fieldwork.<h4>New information</h4>The survey in HRCB recorded 510 exsiccatae belonging to 160 species and 44 families. We also conducted 24 fieldwork expeditions between 2019 and 2021 and recorded 118 species in 39 families. In total, 193 woody species were recorded for the Reserve in Corumbataí. Species such as <i>Copaiferalangsdorffii</i> and <i>Myrcianeoclusiifolia</i> had already been cited for the area, but there was no testimony material in the herbarium. <i>Machaeriumnyctitans</i> and <i>Alchorneaglandulosa</i> are examples of new records for the Reserve. Fabaceae, Asteraceae, Myrtaceae, Melastomataceae and Rubiaceae were the families with the greatest species diversity."
affiliation,"Universidade Estadual Paulista (UNESP), Instituto de Biociências de Rio Claro, Programa de Pós-Graduação em Biologia Vegetal (Interunidades), Rio Claro, Brazil Universidade Estadual Paulista (UNESP), Instituto de Biociências de Rio Claro, Programa de Pós-Graduação em Biologia Vegetal (Interunidades) Rio Claro Brazil."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['Species', 'Floristics', 'herbarium', 'Cerrado', 'Cerradão']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3897/BDJ.13.e142217'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11811714'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11811714?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,Y
citedByCount,0
hasData,Y
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,Y
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2025-02-12
firstIndexDate,2025-02-12
fullTextReceivedDate,2025-02-14
dateOfRevision,2025-02-13
electronicPublicationDate,2025-02-03
firstPublicationDate,2025-02-03
