,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40003057
source,MED
pmid,40003057
pmcid,PMC11852016
fullTextIdList,{'fullTextId': 'PMC11852016'}
doi,10.3390/ani15040576
title,"Growth Performance, Health Parameters, and Blood Metabolites of Dairy Calves Supplemented with a Polyherbal Phytogenic Additive."
authorString,"Velázquez-Cruz LA, Mendoza-Martínez GD, Hernández-García PA, Espinosa-Ayala E, Díaz-Galván C, Vázquez-Silva G, Orzuna-Orzuna JF, Razo-Ortíz PB, de la Torre-Hernández ME."
authorList,"{'author': [{'fullName': 'Velázquez-Cruz LA', 'firstName': 'Lucero Abigail', 'lastName': 'Velázquez-Cruz', 'initials': 'LA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Centro Universitario Amecameca, Universidad Autónoma del Estado de México, Amecameca CP 56900, Mexico.'}}}, {'fullName': 'Mendoza-Martínez GD', 'firstName': 'German David', 'lastName': 'Mendoza-Martínez', 'initials': 'GD', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-8613-6464'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Producción Agrícola y Animal, Universidad Autónoma Metropolitana-Xochimilco, Mexico City CP 04960, Mexico.'}}}, {'fullName': 'Hernández-García PA', 'firstName': 'Pedro Abel', 'lastName': 'Hernández-García', 'initials': 'PA', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-3820-4370'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Centro Universitario Amecameca, Universidad Autónoma del Estado de México, Amecameca CP 56900, Mexico.'}, {'affiliation': 'Departamento de Producción Agrícola y Animal, Universidad Autónoma Metropolitana-Xochimilco, Mexico City CP 04960, Mexico.'}]}}, {'fullName': 'Espinosa-Ayala E', 'firstName': 'Enrique', 'lastName': 'Espinosa-Ayala', 'initials': 'E', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Centro Universitario Amecameca, Universidad Autónoma del Estado de México, Amecameca CP 56900, Mexico.'}}}, {'fullName': 'Díaz-Galván C', 'firstName': 'Cesar', 'lastName': 'Díaz-Galván', 'initials': 'C', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-8541-8163'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Producción Agrícola y Animal, Universidad Autónoma Metropolitana-Xochimilco, Mexico City CP 04960, Mexico.'}}}, {'fullName': 'Vázquez-Silva G', 'firstName': 'Gabriela', 'lastName': 'Vázquez-Silva', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-8250-6029'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento del Hombre y su Ambiente, Universidad Autónoma Metropolitana-Xochimilco, Mexico City CP 04960, Mexico.'}}}, {'fullName': 'Orzuna-Orzuna JF', 'firstName': 'José Felipe', 'lastName': 'Orzuna-Orzuna', 'initials': 'JF', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-2496-4712'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Zootecnia, Universidad Autónoma Chapingo, Chapingo CP 56230, Mexico.'}}}, {'fullName': 'Razo-Ortíz PB', 'firstName': 'Pablo Benjamín', 'lastName': 'Razo-Ortíz', 'initials': 'PB', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-2157-6618'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Centro Universitario Amecameca, Universidad Autónoma del Estado de México, Amecameca CP 56900, Mexico.'}}}, {'fullName': 'de la Torre-Hernández ME', 'firstName': 'María Eugenia', 'lastName': 'de la Torre-Hernández', 'initials': 'ME', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-9982-2367'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'CONAHCYT-UAM Xochimilco, Universidad Autónoma Metropolitana-Xochimilco, Mexico City CP 04960, Mexico.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0001-8250-6029'}, {'@type': 'ORCID', '#text': '0000-0001-8541-8163'}, {'@type': 'ORCID', '#text': '0000-0002-3820-4370'}, {'@type': 'ORCID', '#text': '0000-0002-8613-6464'}, {'@type': 'ORCID', '#text': '0000-0002-9982-2367'}, {'@type': 'ORCID', '#text': '0000-0003-2157-6618'}, {'@type': 'ORCID', '#text': '0000-0003-2496-4712'}]}"
journalInfo,"{'issue': '4', 'volume': '15', 'journalIssueId': '3904641', 'dateOfPublication': '2025 Feb', 'monthOfPublication': '2', 'yearOfPublication': '2025', 'printPublicationDate': '2025-02-01', 'journal': {'title': 'Animals : an open access journal from MDPI', 'ISOAbbreviation': 'Animals (Basel)', 'medlineAbbreviation': 'Animals (Basel)', 'NLMid': '101635614', 'ISSN': '2076-2615', 'ESSN': '2076-2615'}}"
pubYear,2025
pageInfo,576
