,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40429253
source,MED
pmid,40429253
pmcid,PMC12111874
fullTextIdList,{'fullTextId': 'PMC12111874'}
doi,10.3390/insects16050540
title,"Nature-Identical Safranal and Dihydrocoumarin from &lt;i&gt;Ageratina adenophora&lt;/i&gt; ((Spreng., 1970) King and H. Rob.) Target Energy Metabolism to Control &lt;i&gt;Solenopsis invicta&lt;/i&gt; Buren, 1972 (Hymenoptera: Formicidae)."
authorString,"Wu M, Luo R, Hussain M, Wu W, Li S, Guo Z, Jia B, Bi G, Gao X, Wu G, Qin D."
authorList,"{'author': [{'fullName': 'Wu M', 'firstName': 'Mingqi', 'lastName': 'Wu', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Luo R', 'firstName': 'Rongchao', 'lastName': 'Luo', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Hussain M', 'firstName': 'Mehboob', 'lastName': 'Hussain', 'initials': 'M', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-4861-2009'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Wu W', 'firstName': 'Wenmei', 'lastName': 'Wu', 'initials': 'W', 'authorId': {'@type': 'ORCID', '#text': '0009-0006-6987-3477'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Life Sciences and Biopharmaceutics, Guangdong Pharmaceutical University, Guangzhou 510006, China.'}}}, {'fullName': 'Li S', 'firstName': 'Shini', 'lastName': 'Li', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Guo Z', 'firstName': 'Zijun', 'lastName': 'Guo', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Jia B', 'firstName': 'Boyu', 'lastName': 'Jia', 'initials': 'B', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Bi G', 'firstName': 'Gaofeng', 'lastName': 'Bi', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Gao X', 'firstName': 'Xi', 'lastName': 'Gao', 'initials': 'X', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Wu G', 'firstName': 'Guoxing', 'lastName': 'Wu', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7308-2161'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}, {'fullName': 'Qin D', 'firstName': 'Deqiang', 'lastName': 'Qin', 'initials': 'D', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan Agricultural University, Kunming 650201, China.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-7308-2161'}, {'@type': 'ORCID', '#text': '0000-0003-4861-2009'}, {'@type': 'ORCID', '#text': '0009-0006-6987-3477'}]}"
journalInfo,"{'issue': '5', 'volume': '16', 'journalIssueId': '3948195', 'dateOfPublication': '2025 May', 'monthOfPublication': '5', 'yearOfPublication': '2025', 'printPublicationDate': '2025-05-01', 'journal': {'title': 'Insects', 'ISOAbbreviation': 'Insects', 'medlineAbbreviation': 'Insects', 'NLMid': '101574235', 'ISSN': '2075-4450', 'ESSN': '2075-4450'}}"
pubYear,2025
pageInfo,540
