,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40385234
source,MED
pmid,40385234
pmcid,PMC12081409
fullTextIdList,{'fullTextId': 'PMC12081409'}
doi,10.3389/fpls.2025.1525303
title,Nitrate nitrogen uptake and metabolism in &lt;i&gt;Mikania micrantha&lt;/i&gt; stem: insights into enhanced growth and invasiveness.
authorString,"Cai M, Chen L, Chen M, Ke W, Wang D, Peng C."
authorList,"{'author': [{'fullName': 'Cai M', 'firstName': 'Minling', 'lastName': 'Cai', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Life Science, Huizhou University, Huizhou, China.'}}}, {'fullName': 'Chen L', 'firstName': 'Lihua', 'lastName': 'Chen', 'initials': 'L', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Guangzhou Key Laboratory of Subtropical Biodiversity and Biomonitoring, Guangdong Provincial Key Laboratory of Biotechnology for Plant Development, College of Life Sciences, South China Normal University, Guangzhou, China.'}}}, {'fullName': 'Chen M', 'firstName': 'Minghao', 'lastName': 'Chen', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Key Laboratory of Vegetation Restoration and Management of Degraded Ecosystems, South China Botanical Garden, Chinese Academy of Sciences, Guangzhou, China.'}}}, {'fullName': 'Ke W', 'firstName': 'Weiqian', 'lastName': 'Ke', 'initials': 'W', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Guangzhou Key Laboratory of Subtropical Biodiversity and Biomonitoring, Guangdong Provincial Key Laboratory of Biotechnology for Plant Development, College of Life Sciences, South China Normal University, Guangzhou, China.'}}}, {'fullName': 'Wang D', 'firstName': 'Dongguang', 'lastName': 'Wang', 'initials': 'D', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Life Science, Huizhou University, Huizhou, China.'}}}, {'fullName': 'Peng C', 'firstName': 'Changlian', 'lastName': 'Peng', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Guangzhou Key Laboratory of Subtropical Biodiversity and Biomonitoring, Guangdong Provincial Key Laboratory of Biotechnology for Plant Development, College of Life Sciences, South China Normal University, Guangzhou, China.'}}}]}"
dataLinksTagsList,{'dataLinkstag': 'altmetrics'}
journalInfo,"{'volume': '16', 'journalIssueId': '3897180', 'dateOfPublication': '2025', 'monthOfPublication': '0', 'yearOfPublication': '2025', 'printPublicationDate': '2025-01-01', 'journal': {'title': 'Frontiers in plant science', 'ISOAbbreviation': 'Front Plant Sci', 'medlineAbbreviation': 'Front Plant Sci', 'NLMid': '101568200', 'ISSN': '1664-462X', 'ESSN': '1664-462X'}}"
pubYear,2025
pageInfo,1525303
abstractText,"The increasing atmospheric nitrogen deposition, characterized by a rising proportion of nitrate nitrogen (NO<sub>3</sub>⁻-N), is exacerbating the spread of invasive plant species. Despite this trend, the response mechanisms of <i>Mikania micrantha</i>, a highly invasive plant, to NO<sub>3</sub>⁻-N remain poorly understood. This study investigates the unique adaptation strategies of <i>M. micrantha</i> to elevated NO<sub>3</sub>⁻-N levels, providing novel insights into its invasive success under changing nitrogen deposition patterns. Field experiments showed that <i>M. micrantha</i> rhizosphere soil contained higher NO<sub>3</sub> <sup>-</sup>N content and protease activity compared to companion plants (<i>Paederia scandens</i>, <i>Ipomoea nil</i>, and <i>Ipomoea cairica</i>). Both roots and stems of <i>M. micrantha</i> had higher NO<sub>3</sub> <sup>-</sup>N content and demonstrated stronger nitrogen metabolism capabilities. Pot experiments further showed that increasing NO<sub>3</sub>⁻-N concentrations (0 mM-40 mM) significantly promoted <i>M. micrantha</i> growth, with optimal phenotypic responses (main stem length, leaf number, branch number, and biomass) observed at 5 mM NO<sub>3</sub>⁻-N. Nitrogen metabolism enzyme assays revealed that nitrate reductase (NR), nitrite reductase (NiR), glutamate dehydrogenase (GDH), and free amino acid content increased progressively with NO<sub>3</sub>⁻-N concentration. Transcriptome sequencing and qPCR analyses identified upregulation of key genes related to transcription factors, nitrate transporter-related, nitrogen metabolism enzyme, and amino acid synthesis pathway. These findings demonstrate that <i>M. micrantha</i> employs a multifaceted strategy to exploit elevated NO<sub>3</sub>⁻-N conditions: enhanced NO<sub>3</sub>⁻-N uptake from soil, efficient transport to stems, and robust nitrogen metabolism facilitated by coordinated gene expression. This study reveals the adaptation mechanisms of <i>M. micrantha</i> to NO<sub>3</sub>⁻-N enrichment, offering critical insights for predicting and managing invasive species responses to global atmospheric nitrogen deposition changes. The results highlight the importance of considering nitrogen composition, rather than just quantity, in invasive species management strategies."
affiliation,"College of Life Science, Huizhou University, Huizhou, China."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['Stem', 'Gene', 'invasive plant', 'Rna-seq', 'No3⁻-N']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3389/fpls.2025.1525303'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC12081409'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC12081409?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,Y
