,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40332885
source,MED
pmid,40332885
pmcid,PMC12027793
fullTextIdList,{'fullTextId': 'PMC12027793'}
doi,10.3390/insects16040368
title,Adaptability of Yuanjiang River Valley &lt;i&gt;Danaus genutia&lt;/i&gt; to Different Host Plants in Yunan.
authorString,"Yao J, Du T, Li Y, Zhou C, Shi L."
authorList,"{'author': [{'fullName': 'Yao J', 'firstName': 'Jun', 'lastName': 'Yao', 'initials': 'J', 'authorId': {'@type': 'ORCID', '#text': '0009-0002-5415-1907'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Key Laboratory of Breeding and Utilization of Resource Insects of National Forestry and Grassland Administration, Institute of Highland Forest Science, Chinese Academy of Forestry, Kunming 650224, China.'}, {'affiliation': 'Yunnan Key Laboratory of Breeding and Utilization of Resource Insects, Kunming 650224, China.'}, {'affiliation': 'Graduate School, Nanjing Forestry University, Nanjing 210037, China.'}]}}, {'fullName': 'Du T', 'firstName': 'Ting', 'lastName': 'Du', 'initials': 'T', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Key Laboratory of Breeding and Utilization of Resource Insects of National Forestry and Grassland Administration, Institute of Highland Forest Science, Chinese Academy of Forestry, Kunming 650224, China.'}, {'affiliation': 'Yunnan Key Laboratory of Breeding and Utilization of Resource Insects, Kunming 650224, China.'}]}}, {'fullName': 'Li Y', 'firstName': 'Yangyang', 'lastName': 'Li', 'initials': 'Y', 'authorId': {'@type': 'ORCID', '#text': '0009-0006-2719-0950'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Key Laboratory of Breeding and Utilization of Resource Insects of National Forestry and Grassland Administration, Institute of Highland Forest Science, Chinese Academy of Forestry, Kunming 650224, China.'}, {'affiliation': 'Graduate School, Nanjing Forestry University, Nanjing 210037, China.'}]}}, {'fullName': 'Zhou C', 'firstName': 'Chengli', 'lastName': 'Zhou', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Key Laboratory of Breeding and Utilization of Resource Insects of National Forestry and Grassland Administration, Institute of Highland Forest Science, Chinese Academy of Forestry, Kunming 650224, China.'}, {'affiliation': 'Yunnan Key Laboratory of Breeding and Utilization of Resource Insects, Kunming 650224, China.'}]}}, {'fullName': 'Shi L', 'firstName': 'Lei', 'lastName': 'Shi', 'initials': 'L', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Key Laboratory of Breeding and Utilization of Resource Insects of National Forestry and Grassland Administration, Institute of Highland Forest Science, Chinese Academy of Forestry, Kunming 650224, China.'}, {'affiliation': 'Yunnan Key Laboratory of Breeding and Utilization of Resource Insects, Kunming 650224, China.'}]}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0009-0002-5415-1907'}, {'@type': 'ORCID', '#text': '0009-0006-2719-0950'}]}"
journalInfo,"{'issue': '4', 'volume': '16', 'journalIssueId': '3933495', 'dateOfPublication': '2025 Apr', 'monthOfPublication': '4', 'yearOfPublication': '2025', 'printPublicationDate': '2025-04-01', 'journal': {'title': 'Insects', 'ISOAbbreviation': 'Insects', 'medlineAbbreviation': 'Insects', 'NLMid': '101574235', 'ISSN': '2075-4450', 'ESSN': '2075-4450'}}"
pubYear,2025
pageInfo,368
abstractText,"This study aims to determine the local host plant range for Yuanjiang River Valley <i>Danaus genutia</i> (Cramer, 1779) and evaluate the effects of different host plants on its growth, development, and reproductive success. This research assesses adult oviposition preferences and larval feeding tendencies on various host plants. An age-stage, two-sex life table was constructed to analyze the butterfly's growth, development, reproductive success, survival rates, and other physiological aspects on different host plants. Population dynamics over the next 60 days were simulated to offer a comprehensive evaluation of the host plant suitability for <i>D. genutia</i>. The results indicated that <i>D. genutia</i> adults preferred laying eggs on <i>Cynanchum corymbosum</i>, followed by <i>C. annularium</i>, <i>C. rostellatum</i>, and <i>Asclepias curassavica</i>, with very few eggs laid on <i>Calotropis gigantea</i> and <i>Dregea volubilis</i>. Larval feeding preferences were observed in the order of <i>C. annularium</i> > <i>C. corymbosum</i> > <i>C. rostellatum</i>, with <i>A. curassavica</i> consumed only by first-instar larvae, while <i>C. gigantea</i> and <i>D. volubilis</i> were avoided. Under identical room temperature conditions, larvae feeding on <i>C. annularium</i> and <i>C. corymbosum</i> completed a full generation. Larvae feeding on <i>C. annularium</i> exhibited shorter developmental periods and higher early survival rates compared to those feeding on <i>C. corymbosum</i>, with no significant differences in adult longevity, sex ratio, or number of eggs per female. Female adults did not die immediately after laying eggs. No significant differences in the intrinsic rate of increase (<i>r</i>), finite rate of increase (<i>λ</i>), net reproduction rate (<i>R</i><sub>0</sub>), or doubling time (<i>T<sub>d</sub></i>) were found between populations feeding on the two host plants. However, the gross reproductive rate (<i>GRR</i>) and mean generation time (<i>T</i>) were significantly lower in the population feeding on <i>C. corymbosum</i>. These results confirm <i>C. annularium</i> and <i>C. corymbosum</i> as host plants for <i>D. genutia</i> larvae and provide a theoretical and scientific basis for the conservation of the Yuanjiang River Valley <i>D. genutia</i> population."
affiliation,"Key Laboratory of Breeding and Utilization of Resource Insects of National Forestry and Grassland Administration, Institute of Highland Forest Science, Chinese Academy of Forestry, Kunming 650224, China."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
