,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40073028
source,MED
pmid,40073028
pmcid,PMC11902251
fullTextIdList,{'fullTextId': 'PMC11902251'}
doi,10.1371/journal.pone.0314850
title,Lantana camara plant extract catalyzed biosynthesis of graphene-metal nanocomposites with potential cytotoxic activities.
authorString,"Khan KU, Rehman M, Hameed M, Hayat K, Saeed F, Afzaal M, Akram N, Ahmed F, Asghar A, Hailu GG."
authorList,"{'author': [{'fullName': 'Khan KU', 'firstName': 'Kfait Ullah', 'lastName': 'Khan', 'initials': 'KU', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, University of Lahore, Sargodha Campus, Punjab, Pakistan.'}}}, {'fullName': 'Rehman M', 'firstName': 'Misbahur', 'lastName': 'Rehman', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, University of Lahore, Sargodha Campus, Punjab, Pakistan.'}}}, {'fullName': 'Hameed M', 'firstName': 'Mariam', 'lastName': 'Hameed', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, University of Lahore, Sargodha Campus, Punjab, Pakistan.'}}}, {'fullName': 'Hayat K', 'firstName': 'Khyzar', 'lastName': 'Hayat', 'initials': 'K', 'authorId': {'@type': 'ORCID', '#text': '0009-0002-1613-9253'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, University of Lahore, Sargodha Campus, Punjab, Pakistan.'}}}, {'fullName': 'Saeed F', 'firstName': 'Farhan', 'lastName': 'Saeed', 'initials': 'F', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Food Science, Government College University Faisalabad, Faisalabad, Pakistan.'}}}, {'fullName': 'Afzaal M', 'firstName': 'Muhammad', 'lastName': 'Afzaal', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Food Science, Government College University Faisalabad, Faisalabad, Pakistan.'}}}, {'fullName': 'Akram N', 'firstName': 'Noor', 'lastName': 'Akram', 'initials': 'N', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Food Safety and Biotechnology Lab, Department of Food Sciences, Government College University Faisalabad, Faisalabad, Pakistan.'}}}, {'fullName': 'Ahmed F', 'firstName': 'Faiyaz', 'lastName': 'Ahmed', 'initials': 'F', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Basic Health Sciences, College of Applied Medical Sciences, Qassim University, Buraydah, Saudi Arabia.'}}}, {'fullName': 'Asghar A', 'firstName': 'Aasma', 'lastName': 'Asghar', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Nutritional Science, Government College University Faisalabad, Faisalabad, Pakistan.'}}}, {'fullName': 'Hailu GG', 'firstName': 'Gebremichael Gebremedhin', 'lastName': 'Hailu', 'initials': 'GG', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7376-0700'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Food Technology and Process Engineering, Oda Bultum University, Chiro, Ethiopia.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-7376-0700'}, {'@type': 'ORCID', '#text': '0009-0002-1613-9253'}]}"
journalInfo,"{'issue': '3', 'volume': '20', 'journalIssueId': '3908271', 'dateOfPublication': '2025', 'monthOfPublication': '0', 'yearOfPublication': '2025', 'printPublicationDate': '2025-01-01', 'journal': {'title': 'PloS one', 'ISOAbbreviation': 'PLoS One', 'medlineAbbreviation': 'PLoS One', 'NLMid': '101285081', 'ISSN': '1932-6203', 'ESSN': '1932-6203'}}"
pubYear,2025
pageInfo,e0314850
abstractText,"This study investigates the synthesis and characterization of Plant-Ag-graphene nanocomposites through a combination of spectroscopic and microscopic techniques, the nanocomposites were formed by catalyzing silver nanoparticles with plant extracts, and the resulting structures were analyzed using advanced instrumentation. In the FTIR analysis, distinctive peaks were observed at 3340 cm⁻1 (O-H stretching), 1740 cm⁻1 (C = O stretching), and 1050 cm⁻1. When compared to silver nanoparticles, the nanocomposites exhibited altered peak intensities, indicating modifications in chemical bonding. SEM images revealed that in nanocomposites, nanoparticles were adhered to graphene sheets, confirming the successful formation of Plant-Ag-graphene structures. EDX spectra showed a reduction in the silver content, confirming the integration of graphene into the nanocomposites. XRD analysis confirmed the presence of face-centered cubic-shaped Ag metal in the nanocomposites, while graphene exhibited a hexagonal crystalline shape. UV-Vis spectroscopy demonstrated shifts in peak positions, Spectrum A (400 to 700 nm) and spectrum B (265 nm), suggesting the successful synthesis of Plant-Ag-graphene nanocomposites. Moreover, the cytotoxic activity showed cell inhibition among Plant-Ag-Graphene (65.69%) and Plant-Ag (61.39%), respectively."
affiliation,"Department of Chemistry, University of Lahore, Sargodha Campus, Punjab, Pakistan."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
