,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39385931
source,MED
pmid,39385931
pmcid,PMC11463761
fullTextIdList,{'fullTextId': 'PMC11463761'}
doi,10.3389/fgene.2024.1435592
title,Exploring biodiversity of Uruguayan vascular plants through DNA barcoding.
authorString,"Da Silva C, Mannise N, Seguí R, Iriarte A, Bou N, Bonifacino JM, Mailhos A, Anza L, Chitaro S, Ocampo F, Gándaras R, Arezo F, Capurro L, Iturburu M, Nieto N, Juan H, Garrido J, Platero R, Gago J, Lezama F, Do Carmo M, Cosse M."
