,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40005162
source,MED
pmid,40005162
pmcid,PMC11858648
fullTextIdList,{'fullTextId': 'PMC11858648'}
doi,10.3390/molecules30040851
title,"Ethnobotany, Phytochemistry, and Biological Activity of Extracts and Non-Volatile Compounds from &lt;i&gt;Lantana camara&lt;/i&gt; L. and Semisynthetic Derivatives-An Updated Review."
authorString,"Ramírez J, Armijos C, Espinosa-Ortega N, Castillo LN, Vidari G."
authorList,"{'author': [{'fullName': 'Ramírez J', 'firstName': 'Jorge', 'lastName': 'Ramírez', 'initials': 'J', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-8839-7457'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Química, Facultad de Ciencias Exactas y Naturales, Universidad Técnica Particular de Loja, Loja 1101608, Ecuador.'}}}, {'fullName': 'Armijos C', 'firstName': 'Chabaco', 'lastName': 'Armijos', 'initials': 'C', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-3252-9932'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Química, Facultad de Ciencias Exactas y Naturales, Universidad Técnica Particular de Loja, Loja 1101608, Ecuador.'}}}, {'fullName': 'Espinosa-Ortega N', 'firstName': 'Nelson', 'lastName': 'Espinosa-Ortega', 'initials': 'N', 'authorId': {'@type': 'ORCID', '#text': '0009-0002-7881-0305'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'UTPL-Alumni, Barrio San Cayetano Alto, Calle Marcelino Champagnat, Loja 1101608, Ecuador.'}}}, {'fullName': 'Castillo LN', 'firstName': 'Leydy Nathaly', 'lastName': 'Castillo', 'initials': 'LN', 'authorId': {'@type': 'ORCID', '#text': '0009-0003-5304-7494'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Química, Facultad de Ciencias Exactas y Naturales, Universidad Técnica Particular de Loja, Loja 1101608, Ecuador.'}}}, {'fullName': 'Vidari G', 'firstName': 'Giovanni', 'lastName': 'Vidari', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-4606-2154'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Medical Analysis, Faculty of Applied Science, Tishk International University, Erbil 44001, Iraq.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-3252-9932'}, {'@type': 'ORCID', '#text': '0000-0002-8839-7457'}, {'@type': 'ORCID', '#text': '0000-0003-4606-2154'}, {'@type': 'ORCID', '#text': '0009-0002-7881-0305'}, {'@type': 'ORCID', '#text': '0009-0003-5304-7494'}]}"
journalInfo,"{'issue': '4', 'volume': '30', 'journalIssueId': '3902627', 'dateOfPublication': '2025 Feb', 'monthOfPublication': '2', 'yearOfPublication': '2025', 'printPublicationDate': '2025-02-01', 'journal': {'title': 'Molecules (Basel, Switzerland)', 'ISOAbbreviation': 'Molecules', 'medlineAbbreviation': 'Molecules', 'NLMid': '100964009', 'ISSN': '1420-3049', 'ESSN': '1420-3049'}}"
pubYear,2025
pageInfo,851
abstractText,"<i>Lantana camara</i> L., commonly known as pigeon berry, is a herbaceous plant of growing scientific interest due to the high medicinal value. In fact, despite being categorized as an invasive species, it has been used for a long time to treat different diseases thanks to the many biological activities. Triterpenes, flavonoids, phenylpropanoids, and iridoid glycosides are the bioactive compounds naturally occurring in <i>L. camara</i> that have demonstrated anticancer, antifilarial, nematocidal, antibacterial, insecticidal, antileishmanial, antifungal, anti-inflammatory, and antioxidant properties. The aim of this review is to update the information concerning the chemistry and biological activity of <i>L. camara</i> extracts and their constituents, including semisynthetic derivatives, revising the literature until June 2024. We believe that the data reported in this review clearly demonstrate the importance of the plant as a promising source of medicines and will therefore stimulate further investigations."
affiliation,"Departamento de Química, Facultad de Ciencias Exactas y Naturales, Universidad Técnica Particular de Loja, Loja 1101608, Ecuador."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['review-article', 'Review', 'Journal Article']}"
grantsList,"{'grant': {'grantId': 'PROY_PROY_ARTIC_QU_2022_3652.', 'agency': 'Universidad Técnica Particular de Loja (UTPL)', 'orderIn': '0'}}"
