,Info_By_EuropePMC_Api
meshHeadingList,"{'meshHeading': [{'majorTopic_YN': 'N', 'descriptorName': 'Animals'}, {'majorTopic_YN': 'N', 'descriptorName': 'Humans'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Lantana', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Plant Extracts', 'meshQualifierList': {'meshQualifier': [{'abbreviation': 'PD', 'qualifierName': 'pharmacology', 'majorTopic_YN': 'N'}, {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}]}}, {'majorTopic_YN': 'N', 'descriptorName': 'Antioxidants', 'meshQualifierList': {'meshQualifier': [{'abbreviation': 'PD', 'qualifierName': 'pharmacology', 'majorTopic_YN': 'N'}, {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}]}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Ethnobotany'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Phytochemicals', 'meshQualifierList': {'meshQualifier': [{'abbreviation': 'PD', 'qualifierName': 'pharmacology', 'majorTopic_YN': 'N'}, {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}]}}]}"
keywordList,"{'keyword': ['Biological activity', 'Verbenaceae', 'Phytochemistry', 'ethnobotany', 'Lantana\xa0camara']}"
chemicalList,"{'chemical': [{'name': 'Plant Extracts', 'registryNumber': '0'}, {'name': 'Antioxidants', 'registryNumber': '0'}, {'name': 'Phytochemicals', 'registryNumber': '0'}]}"
subsetList,"{'subset': {'code': 'IM', 'name': 'Index Medicus'}}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/molecules30040851'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11858648'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11858648?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCompletion,2025-05-10
dateOfCreation,2025-02-26
firstIndexDate,2025-02-27
fullTextReceivedDate,2025-03-07
dateOfRevision,2025-05-10
electronicPublicationDate,2025-02-12
firstPublicationDate,2025-02-12
