,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39684506
source,MED
pmid,39684506
pmcid,PMC11641641
fullTextIdList,{'fullTextId': 'PMC11641641'}
doi,10.3390/ijms252312788
title,From an Invasive Weed to an Insecticidal Agent: Exploring the Potential of <i>Lantana camara</i> in Insect Management Strategies-A Review.
authorString,"Kumar R, Guleria N, Deeksha MG, Kumari N, Kumar R, Jha AK, Parmar N, Ganguly P, de Aguiar Andrade EH, Ferreira OO, de Oliveira MS, Chandini."
authorList,"{'author': [{'fullName': 'Kumar R', 'firstName': 'Randeep', 'lastName': 'Kumar', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil Science and Agricultural Chemistry, Bihar Agricultural University, Sabour, Bhagalpur 813210, Bihar, India.'}}}, {'fullName': 'Guleria N', 'firstName': 'Niraj', 'lastName': 'Guleria', 'initials': 'N', 'authorId': {'@type': 'ORCID', '#text': '0009-0004-6032-0898'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Mountain Agricultural Research and Extension Station, CSKHPKV, Salooni 176320, Himachal Pradesh, India.'}}}, {'fullName': 'Deeksha MG', 'firstName': 'Mudagadde G', 'lastName': 'Deeksha', 'initials': 'MG', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'ICAR-Directorate of Weed Research, Jabalpur 482004, Madhya Pradesh, India.'}}}, {'fullName': 'Kumari N', 'firstName': 'Nisha', 'lastName': 'Kumari', 'initials': 'N', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil Science and Agricultural Chemistry, Bihar Agricultural University, Sabour, Bhagalpur 813210, Bihar, India.'}}}, {'fullName': 'Kumar R', 'firstName': 'Ravendra', 'lastName': 'Kumar', 'initials': 'R', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-0296-5231'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, College of Basic Science and Humanities, G.B. Pant University of Agriculture and Technology, Pantnagar 263145, Uttarakhand, India.'}}}, {'fullName': 'Jha AK', 'firstName': 'Arun Kumar', 'lastName': 'Jha', 'initials': 'AK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil Science and Agricultural Chemistry, Bihar Agricultural University, Sabour, Bhagalpur 813210, Bihar, India.'}}}, {'fullName': 'Parmar N', 'firstName': 'Neha', 'lastName': 'Parmar', 'initials': 'N', 'authorId': {'@type': 'ORCID', '#text': '0009-0006-3668-4389'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Veterinary Public Health and Epidemiology, Guru Angad Dev Veterinary and Animal Sciences University, Ludhiana 141004, Punjab, India.'}}}, {'fullName': 'Ganguly P', 'firstName': 'Pritam', 'lastName': 'Ganguly', 'initials': 'P', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-3920-7063'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil Science and Agricultural Chemistry, Bihar Agricultural University, Sabour, Bhagalpur 813210, Bihar, India.'}}}, {'fullName': 'de Aguiar Andrade EH', 'firstName': 'Eloisa Helena', 'lastName': 'de Aguiar Andrade', 'initials': 'EH', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-0640-7496'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Laboratório Adolpho Ducke-LAD-Museu Paraense Emílio Goeld, Av. Perimetral, 1901-Terra Firme, Belém 66077-830, PA, Brazil.'}}}, {'fullName': 'Ferreira OO', 'firstName': 'Oberdan Oliveira', 'lastName': 'Ferreira', 'initials': 'OO', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7881-8625'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Laboratório Adolpho Ducke-LAD-Museu Paraense Emílio Goeld, Av. Perimetral, 1901-Terra Firme, Belém 66077-830, PA, Brazil.'}}}, {'fullName': 'de Oliveira MS', 'firstName': 'Mozaniel Santana', 'lastName': 'de Oliveira', 'initials': 'MS', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-4076-2443'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Laboratório Adolpho Ducke-LAD-Museu Paraense Emílio Goeld, Av. Perimetral, 1901-Terra Firme, Belém 66077-830, PA, Brazil.'}}}, {'fullName': 'Chandini', 'lastName': 'Chandini', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agronomy, Bihar Agricultural University, Sabour, Bhagalpur 813210, Bihar, India.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-0296-5231'}, {'@type': 'ORCID', '#text': '0000-0002-3920-7063'}, {'@type': 'ORCID', '#text': '0000-0002-4076-2443'}, {'@type': 'ORCID', '#text': '0000-0002-7881-8625'}, {'@type': 'ORCID', '#text': '0000-0003-0640-7496'}, {'@type': 'ORCID', '#text': '0009-0004-6032-0898'}, {'@type': 'ORCID', '#text': '0009-0006-3668-4389'}]}"
journalInfo,"{'issue': '23', 'volume': '25', 'journalIssueId': '3871653', 'dateOfPublication': '2024 Nov', 'monthOfPublication': '11', 'yearOfPublication': '2024', 'printPublicationDate': '2024-11-01', 'journal': {'title': 'International journal of molecular sciences', 'ISOAbbreviation': 'Int J Mol Sci', 'medlineAbbreviation': 'Int J Mol Sci', 'NLMid': '101092791', 'ISSN': '1422-0067', 'ESSN': '1422-0067'}}"
pubYear,2024
pageInfo,12788
