,Info_By_EuropePMC_Api
abstractText,"<i>Ocimum sanctum</i> Linn (<i>O. sanctum</i> L.), commonly known as Holy Basil or Tulsi, is a fragrant herbaceous plant belonging to the Lamiaceae family. This plant is widely cultivated and found in north-central parts of India, several Arab countries, West Africa and tropical regions of the Eastern World. Tulsi is known to be an adaptogen, aiding the body in adapting to stress by harmonizing various bodily systems. Revered in Ayurveda as the ""Elixir of Life"", Tulsi is believed to enhance lifespan and foster longevity. Eugenol, the active ingredient present in Tulsi, is a l-hydroxy-2-methoxy-4-allylbenzene compound with diverse therapeutic applications. As concerns over the adverse effects of conventional antibacterial agents continue to grow, alternative therapies have gained prominence. Essential oils (EOs) containing antioxidants have a long history of utilization in traditional medicine and have gained increasing popularity over time. Numerous in vitro, in vivo and clinical studies have provided compelling evidence supporting the safety and efficacy of antioxidant EOs derived from medicinal plants for promoting health. This comprehensive review aims to highlight the scientific knowledge regarding the therapeutic properties of <i>O. sanctum</i>, focusing on its antibacterial, anti-diabetic, anti-carcinogenic, radioprotective, immunomodulatory, anti-inflammatory, cardioprotective, neurogenesis, anti-depressant and other beneficial characteristics. Also, the extracts of <i>O. sanctum</i> L. have the ability to reduce chronic inflammation linked to neurological disorders such as Parkinson's and Alzheimer's disease. The information presented in this review shed light on the multifaceted potential of Tulsi and its derivatives in maintaining and promoting health. This knowledge may pave the way for the development of novel therapeutic interventions and natural remedies that harness the immense therapeutic potential of Tulsi in combating various health conditions, while also providing valuable insights for further research and exploration in this field."
affiliation,"Department of Biotechnology, Yeungnam University, Gyeongsan 38541, Republic of Korea."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['review-article', 'Review', 'Journal Article']}"
keywordList,"{'keyword': ['Antioxidants', 'Eugenol', 'Anti-inflammatory', 'Radioprotective', 'Ocimum Sanctum Linn']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/plants13243516'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11678315'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11678315?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2025-01-08
firstIndexDate,2025-01-11
fullTextReceivedDate,2024-12-30
dateOfRevision,2025-01-08
electronicPublicationDate,2024-12-16
firstPublicationDate,2024-12-16
