,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39771214
source,MED
pmid,39771214
pmcid,PMC11678315
fullTextIdList,{'fullTextId': 'PMC11678315'}
doi,10.3390/plants13243516
title,"Harnessing the Antibacterial, Anti-Diabetic and Anti-Carcinogenic Properties of <i>Ocimum sanctum</i> Linn (Tulsi)."
authorString,"Arya R, Faruquee HM, Shakya H, Rahman SA, Begum MM, Biswas SK, Apu MAI, Islam MA, Sheikh MMI, Kim JJ."
authorList,"{'author': [{'fullName': 'Arya R', 'firstName': 'Rakesh', 'lastName': 'Arya', 'initials': 'R', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-2089-0891'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology, Yeungnam University, Gyeongsan 38541, Republic of Korea.'}}}, {'fullName': 'Faruquee HM', 'firstName': 'Hossain Md', 'lastName': 'Faruquee', 'initials': 'HM', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7596-8441'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology and Genetic Engineering, Faculty of Biological Science, Islamic University, Kushtia 7003, Bangladesh.'}}}, {'fullName': 'Shakya H', 'firstName': 'Hemlata', 'lastName': 'Shakya', 'initials': 'H', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7314-7148'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biomedical Engineering, Shri G. S. Institute of Technology and Science, Indore 452003, India.'}}}, {'fullName': 'Rahman SA', 'firstName': 'Sheikh Atikur', 'lastName': 'Rahman', 'initials': 'SA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology and Genetic Engineering, Faculty of Biological Science, Islamic University, Kushtia 7003, Bangladesh.'}}}, {'fullName': 'Begum MM', 'firstName': 'Most Morium', 'lastName': 'Begum', 'initials': 'MM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agriculture, Rabindra Maitree University, Kushtia 7000, Bangladesh.'}}}, {'fullName': 'Biswas SK', 'firstName': 'Sudhangshu Kumar', 'lastName': 'Biswas', 'initials': 'SK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology and Genetic Engineering, Faculty of Biological Science, Islamic University, Kushtia 7003, Bangladesh.'}}}, {'fullName': 'Apu MAI', 'firstName': 'Md Aminul Islam', 'lastName': 'Apu', 'initials': 'MAI', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-9131-1482'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Nutrition and Hospitality Management, The University of Mississippi, Oxford, MS 38677, USA.'}}}, {'fullName': 'Islam MA', 'firstName': 'Md Azizul', 'lastName': 'Islam', 'initials': 'MA', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology and Genetic Engineering, Faculty of Biological Science, Islamic University, Kushtia 7003, Bangladesh.'}}}, {'fullName': 'Sheikh MMI', 'firstName': 'Md Mominul Islam', 'lastName': 'Sheikh', 'initials': 'MMI', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Nano Project Group, Research & Development Institute, Moorim P&P Co., Ltd., Ulju-gun, Ulsan 45011, Republic of Korea.'}}}, {'fullName': 'Kim JJ', 'firstName': 'Jong-Joo', 'lastName': 'Kim', 'initials': 'JJ', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology, Yeungnam University, Gyeongsan 38541, Republic of Korea.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-7314-7148'}, {'@type': 'ORCID', '#text': '0000-0002-7596-8441'}, {'@type': 'ORCID', '#text': '0000-0002-9131-1482'}, {'@type': 'ORCID', '#text': '0000-0003-2089-0891'}]}"
journalInfo,"{'issue': '24', 'volume': '13', 'journalIssueId': '3876499', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Plants (Basel, Switzerland)', 'ISOAbbreviation': 'Plants (Basel)', 'medlineAbbreviation': 'Plants (Basel)', 'NLMid': '101596181', 'ISSN': '2223-7747', 'ESSN': '2223-7747'}}"
pubYear,2024
pageInfo,3516
