,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40566908
source,MED
pmid,40566908
pmcid,PMC12198899
fullTextIdList,{'fullTextId': 'PMC12198899'}
doi,10.1098/rstb.2024.0119
title,Modality-specific long-term memory enhancement in &lt;i&gt;Heliconius&lt;/i&gt; butterflies.
authorString,"Hodge EA, Alcalde Anton A, Bestea L, Hernández G, Margereth Aguilar J, Farnworth MS, Dalbosco Dell'Aglio D, McMillan WO, Montgomery SH."
authorList,"{'author': [{'fullName': 'Hodge EA', 'firstName': 'Elizabeth A', 'lastName': 'Hodge', 'initials': 'EA', 'authorId': {'@type': 'ORCID', '#text': '0009-0001-1837-4719'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'School of Biological Sciences, University of Bristol, Bristol BS8 1TQ, UK.'}, {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}]}}, {'fullName': 'Alcalde Anton A', 'firstName': 'Amaia', 'lastName': 'Alcalde Anton', 'initials': 'A', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-2091-258X'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'School of Biological Sciences, University of Bristol, Bristol BS8 1TQ, UK.'}, {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}]}}, {'fullName': 'Bestea L', 'firstName': 'Louise', 'lastName': 'Bestea', 'initials': 'L', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-0440-1122'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'School of Biological Sciences, University of Bristol, Bristol BS8 1TQ, UK.'}, {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}]}}, {'fullName': 'Hernández G', 'firstName': 'Greta', 'lastName': 'Hernández', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7560-5114'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}}}, {'fullName': 'Margereth Aguilar J', 'firstName': 'Jane', 'lastName': 'Margereth Aguilar', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}}}, {'fullName': 'Farnworth MS', 'firstName': 'Max S', 'lastName': 'Farnworth', 'initials': 'MS', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-2418-3203'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Biological Sciences, University of Bristol, Bristol BS8 1TQ, UK.'}}}, {'fullName': ""Dalbosco Dell'Aglio D"", 'firstName': 'Denise', 'lastName': ""Dalbosco Dell'Aglio"", 'initials': 'D', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-2854-7054'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'School of Biological Sciences, University of Bristol, Bristol BS8 1TQ, UK.'}, {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}]}}, {'fullName': 'McMillan WO', 'firstName': 'W Owen', 'lastName': 'McMillan', 'initials': 'WO', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-2805-2745'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}}}, {'fullName': 'Montgomery SH', 'firstName': 'Stephen H', 'lastName': 'Montgomery', 'initials': 'SH', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-5474-5695'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'School of Biological Sciences, University of Bristol, Bristol BS8 1TQ, UK.'}, {'affiliation': 'Smithsonian Tropical Research Institute, Panama City 0843-03092, Panama.'}]}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-0440-1122'}, {'@type': 'ORCID', '#text': '0000-0002-2091-258X'}, {'@type': 'ORCID', '#text': '0000-0002-2854-7054'}, {'@type': 'ORCID', '#text': '0000-0002-5474-5695'}, {'@type': 'ORCID', '#text': '0000-0002-7560-5114'}, {'@type': 'ORCID', '#text': '0000-0003-2418-3203'}, {'@type': 'ORCID', '#text': '0000-0003-2805-2745'}, {'@type': 'ORCID', '#text': '0009-0001-1837-4719'}]}"
dataLinksTagsList,"{'dataLinkstag': ['altmetrics', 'supporting_data']}"
journalInfo,"{'issue': '1929', 'volume': '380', 'journalIssueId': '3966421', 'dateOfPublication': '2025 Jun', 'monthOfPublication': '6', 'yearOfPublication': '2025', 'printPublicationDate': '2025-06-01', 'journal': {'title': 'Philosophical transactions of the Royal Society of London. Series B, Biological sciences', 'ISOAbbreviation': 'Philos Trans R Soc Lond B Biol Sci', 'medlineAbbreviation': 'Philos Trans R Soc Lond B Biol Sci', 'NLMid': '7503623', 'ISSN': '0962-8436', 'ESSN': '1471-2970'}}"
pubYear,2025
pageInfo,20240119
