,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39439714
source,MED
pmid,39439714
pmcid,PMC11492892
fullTextIdList,{'fullTextId': 'PMC11492892'}
doi,10.5114/bta.2024.141803
title,Potential of some explants for callus induction and plantlet regeneration in <i>Solanum lycopersicum</i> L. under treatment of different plant growth regulators.
authorString,"Kumari A, Nagpal AK, Katnoria JK."
authorList,"{'author': [{'fullName': 'Kumari A', 'firstName': 'Anjana', 'lastName': 'Kumari', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botanical and Environmental Sciences, Guru Nanak Dev Universtiy, Amritsar, Punjab, India.'}}}, {'fullName': 'Nagpal AK', 'firstName': 'Avinash K', 'lastName': 'Nagpal', 'initials': 'AK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botanical and Environmental Sciences, Guru Nanak Dev Universtiy, Amritsar, Punjab, India.'}}}, {'fullName': 'Katnoria JK', 'firstName': 'Jatinder K', 'lastName': 'Katnoria', 'initials': 'JK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botanical and Environmental Sciences, Guru Nanak Dev Universtiy, Amritsar, Punjab, India.'}}}]}"
journalInfo,"{'issue': '3', 'volume': '105', 'journalIssueId': '3841951', 'dateOfPublication': '2024', 'monthOfPublication': '0', 'yearOfPublication': '2024', 'printPublicationDate': '2024-01-01', 'journal': {'title': 'Biotechnologia', 'ISOAbbreviation': 'BioTechnologia (Pozn)', 'medlineAbbreviation': 'BioTechnologia (Pozn)', 'NLMid': '9702407', 'ISSN': '0860-7796', 'ESSN': '2353-9461'}}"
pubYear,2024
pageInfo,227-247
abstractText,"Plant growth regulators (PGRs) control signaling networks and developmental processes involved in plant responses to various biotic and abiotic stresses, making it crucial to study PGRs <i>in vitro</i>. The protocol for micropropagation of <i>Solanum lycopersicum</i> L., following callus induction and regeneration through explants such as internodal segments, leaves, and nodal segments, was established during the present study. Explants were inoculated on Murashige and Skoog (MS) medium supplemented with different plant growth regulators like BA (6-benzylaminopurine), 2,4-D (2,4-dichlorophenoxyacetic acid), BA + 2,4-D, IAA (Indoleacetic acid), IBA (Indolebutyric acid), and NAA (Naphthaleneacetic acid). It was observed that among all explants, the nodal segment showed maximum callus induction (83.33%) and multiplication (86.67%) at 0.25 mg/l of 2,4-D; the highest shoot number (3.33) at 0.5 mg/l of IAA + 0.5 mg/l of BA; the greatest shoot length (7.57 cm) at 0.75 mg/l of BA; root induction (80.95%), root number (21.88), and root length (10.62 cm) at 1 mg/l of IAA. Additionally, the maximum fresh weight (2.448 g) was observed at 0.5 mg/l of BA, while the highest dry weight (0.172 g) and dry matter content (14.25%) were noted at 1 mg/l of BA + 1 mg/l of 2,4-D for the internodal segment. Results of the present study revealed that among different explants, the best response was given by nodal segments, followed by internodal segments. Among the different PGRs, 2,4-D resulted in the highest callus induction and multiplication percentage."
affiliation,"Department of Botanical and Environmental Sciences, Guru Nanak Dev Universtiy, Amritsar, Punjab, India."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['Callus', 'Regeneration', 'Explants', 'Pgrs']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.5114/bta.2024.141803'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11492892'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11492892?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2024-10-23
firstIndexDate,2024-10-24
fullTextReceivedDate,2024-10-31
dateOfRevision,2024-10-24
electronicPublicationDate,2024-09-30
firstPublicationDate,2024-09-30
