,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39108760
source,MED
pmid,39108760
pmcid,PMC11300221
fullTextIdList,{'fullTextId': 'PMC11300221'}
doi,10.3389/fphar.2024.1399598
title,Hepatic microcirculatory disturbance in liver diseases: intervention with traditional Chinese medicine.
authorString,"Liu P, Liang WL, Huang RT, Chen XX, Zou DH, Kurihara H, Li YF, Xu YH, Ouyang SH, He RR."
