,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39795274
source,MED
pmid,39795274
pmcid,PMC11722946
fullTextIdList,{'fullTextId': 'PMC11722946'}
doi,10.3390/plants14010013
title,Holy Basil (<i>Ocimum sanctum</i> L.) Flower and Fenofibrate Improve Lipid Profiles in Rats with Metabolic Dysfunction Associated Steatotic Liver Disease (MASLD): The Role of Choline Metabolism.
authorString,"Taesuwan S, Inchai J, Boonyingsathit K, Chimkerd C, Judprasong K, Rachtanapun P, Muanprasat C, Vaddhanaphuti CS."
authorList,"{'author': [{'fullName': 'Taesuwan S', 'firstName': 'Siraphat', 'lastName': 'Taesuwan', 'initials': 'S', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-0140-4942'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Center of Excellence in Agro Bio-Circular-Green Industry (Agro BCG), Faculty of Agro-Industry, Chiang Mai University, Chiang Mai 50100, Thailand.'}, {'affiliation': 'Functional Foods and Nutrition Research (FFNR) Laboratory, University of Canberra, Bruce, Canberra, ACT 2617, Australia.'}]}}, {'fullName': 'Inchai J', 'firstName': 'Jakkapong', 'lastName': 'Inchai', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Innovative Research Unit of Epithelial Transport and Regulation (iETR), Department of Physiology, Faculty of Medicine, Chiang Mai University, Chiang Mai 50200, Thailand.'}}}, {'fullName': 'Boonyingsathit K', 'firstName': 'Konpong', 'lastName': 'Boonyingsathit', 'initials': 'K', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Institute of Nutrition, Mahidol University, Nakhon Pathom 73170, Thailand.'}}}, {'fullName': 'Chimkerd C', 'firstName': 'Chanika', 'lastName': 'Chimkerd', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Faculty of Pharmacy, Mahidol University, Bangkok 10400, Thailand.'}}}, {'fullName': 'Judprasong K', 'firstName': 'Kunchit', 'lastName': 'Judprasong', 'initials': 'K', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-9831-693X'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Institute of Nutrition, Mahidol University, Nakhon Pathom 73170, Thailand.'}}}, {'fullName': 'Rachtanapun P', 'firstName': 'Pornchai', 'lastName': 'Rachtanapun', 'initials': 'P', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-8157-4433'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Center of Excellence in Agro Bio-Circular-Green Industry (Agro BCG), Faculty of Agro-Industry, Chiang Mai University, Chiang Mai 50100, Thailand.'}}}, {'fullName': 'Muanprasat C', 'firstName': 'Chatchai', 'lastName': 'Muanprasat', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Chakri Naruebodindra Medical Institute, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Samut Prakan 10540, Thailand.'}}}, {'fullName': 'Vaddhanaphuti CS', 'firstName': 'Chutima S', 'lastName': 'Vaddhanaphuti', 'initials': 'CS', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-5537-1023'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Innovative Research Unit of Epithelial Transport and Regulation (iETR), Department of Physiology, Faculty of Medicine, Chiang Mai University, Chiang Mai 50200, Thailand.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0001-8157-4433'}, {'@type': 'ORCID', '#text': '0000-0002-0140-4942'}, {'@type': 'ORCID', '#text': '0000-0002-5537-1023'}, {'@type': 'ORCID', '#text': '0000-0002-9831-693X'}]}"
journalInfo,"{'issue': '1', 'volume': '14', 'journalIssueId': '3884985', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Plants (Basel, Switzerland)', 'ISOAbbreviation': 'Plants (Basel)', 'medlineAbbreviation': 'Plants (Basel)', 'NLMid': '101596181', 'ISSN': '2223-7747', 'ESSN': '2223-7747'}}"
pubYear,2024
pageInfo,13
