,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39273947
source,MED
pmid,39273947
pmcid,PMC11397267
fullTextIdList,{'fullTextId': 'PMC11397267'}
doi,10.3390/plants13172463
title,"Checklist of Ornamental Trees, Shrubs, and Succulents of Apulia (Southern Italy)."
authorString,"Venturella G, Di Gristina E, Pardi R, Cirlincione F, Gargano ML."
authorList,"{'author': [{'fullName': 'Venturella G', 'firstName': 'Giuseppe', 'lastName': 'Venturella', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-8646-5594'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Agricultural, Food and Forest Sciences, University of Palermo, Viale delle Scienze, Bldg. 5, 90128 Palermo, Italy.'}, {'affiliation': 'NBFC, National Biodiversity Future Center, 90133 Palermo, Italy.'}]}}, {'fullName': 'Di Gristina E', 'firstName': 'Emilio', 'lastName': 'Di Gristina', 'initials': 'E', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-7603-3608'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agricultural, Food and Forest Sciences, University of Palermo, Viale delle Scienze, Bldg. 5, 90128 Palermo, Italy.'}}}, {'fullName': 'Pardi R', 'firstName': 'Raimondo', 'lastName': 'Pardi', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil, Plant and Food Sciences, University of Bari Aldo Moro, Via G. Amendola, 165/A, 70126 Bari, Italy.'}}}, {'fullName': 'Cirlincione F', 'firstName': 'Fortunato', 'lastName': 'Cirlincione', 'initials': 'F', 'authorId': {'@type': 'ORCID', '#text': '0000-0003-0923-7488'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil, Plant and Food Sciences, University of Bari Aldo Moro, Via G. Amendola, 165/A, 70126 Bari, Italy.'}}}, {'fullName': 'Gargano ML', 'firstName': 'Maria Letizia', 'lastName': 'Gargano', 'initials': 'ML', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-0511-5363'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Soil, Plant and Food Sciences, University of Bari Aldo Moro, Via G. Amendola, 165/A, 70126 Bari, Italy.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0001-7603-3608'}, {'@type': 'ORCID', '#text': '0000-0001-8646-5594'}, {'@type': 'ORCID', '#text': '0000-0002-0511-5363'}, {'@type': 'ORCID', '#text': '0000-0003-0923-7488'}]}"
journalInfo,"{'issue': '17', 'volume': '13', 'journalIssueId': '3828957', 'dateOfPublication': '2024 Sep', 'monthOfPublication': '9', 'yearOfPublication': '2024', 'printPublicationDate': '2024-09-01', 'journal': {'title': 'Plants (Basel, Switzerland)', 'ISOAbbreviation': 'Plants (Basel)', 'medlineAbbreviation': 'Plants (Basel)', 'NLMid': '101596181', 'ISSN': '2223-7747', 'ESSN': '2223-7747'}}"
pubYear,2024
pageInfo,2463
abstractText,"In this study we focused on the need to fill a knowledge gap among Italian botanical studies namely that of ornamental species census. In particular, we addressed one of the regions in southern Italy with less knowledge in the field of such studies and with an obvious presence of non-native species. A widespread census of the Apulian territory was carried out between 2021 and 2024 in both urban and suburban areas including street trees, parks, and private and historic gardens. The inventory of ornamental trees, shrubs, and succulents of Apulia (southern Italy) was carried out in six provinces, i.e., Bari, Barletta-Andria-Trani, Brindisi, Foggia, Lecce, and Taranto. The checklist comprises 287 taxa (including 265 species, 6 varieties, 5 subspecies, and 11 forms) included in 179 genera belonging to 78 families. We evaluated the number of taxa per families and genera, the presence of each taxa in the provinces of Apulia, the number of taxa per occurrence status, growth forms, geographical origin, and the number of native and alien taxa and also the artificial hybrids. Remarks of the most significant taxa and evaluation of geographical distribution in Italy were also taken into consideration. A large number of surveyed taxa (51.74%) are comprised in the list reported in the recent study on allochthonous vascular flora in Italy with a marked prevalence of Neophyte Casual Alien and Neophyte Naturalized Alien species."
affiliation,"Department of Agricultural, Food and Forest Sciences, University of Palermo, Viale delle Scienze, Bldg. 5, 90128 Palermo, Italy."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
grantsList,"{'grant': [{'grantId': 'CUP B73C22000790001', 'agency': 'National Recovery and Resilience Plan (NRRP), Mission 4, Component 2, Investment 1.4-Call for tender No. 3138 of 16 December 2021, rectified by Decree n. 3175 of 18 December 2021 of Italian Ministry of University and Research funded by the European Union', 'orderIn': '0'}, {'grantId': 'PJ_GEST_FFR', 'agency': 'PON ""Research and Innovation"" Resources 2014-2020', 'orderIn': '0'}]}"
keywordList,"{'keyword': ['Private gardens', 'Parks', 'Southern Italy', 'Apulia', 'Urban Street Trees', 'Historic Gardens']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/plants13172463'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11397267'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11397267?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,1
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
