,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40061696
source,MED
pmid,40061696
pmcid,PMC11888753
fullTextIdList,{'fullTextId': 'PMC11888753'}
doi,10.4103/jpbs.jpbs_1251_24
title,In Silico Molecular Docking of &lt;i&gt;Ocimum sanctum&lt;/i&gt; Phytochemicals: Targeting Key Biomarkers in Oral Cancer.
authorString,"Umapathy VR, Swamikannu B, Natarajan PM, Devi R, Nandini MS, Vimalarani, Vijayalakshmi P."
authorList,"{'author': [{'fullName': 'Umapathy VR', 'firstName': 'Vidhya Rekha', 'lastName': 'Umapathy', 'initials': 'VR', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Public Health Dentistry, Thai Moogambigai Dental College and Hospital, Dr. M.G.R. Educational and Research Institute, Chennai, Tamil Nadu, India.'}}}, {'fullName': 'Swamikannu B', 'firstName': 'Bhuminathan', 'lastName': 'Swamikannu', 'initials': 'B', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Prosthodontics, Sree Balaji Dental College and Hospital, Chennai, India.'}}}, {'fullName': 'Natarajan PM', 'firstName': 'Prabhu Manickam', 'lastName': 'Natarajan', 'initials': 'PM', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Clinical Sciences, Center of Medical and Bio-Allied Health Sciences and Research, College of Dentistry, Ajman University, Ajman, UAE.'}}}, {'fullName': 'Devi R', 'firstName': 'Renuka', 'lastName': 'Devi', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Physiology, Sree Balaji Medical College and Hospital, Chromepet, Chennai, Tamil Nadu, India.'}}}, {'fullName': 'Nandini MS', 'firstName': 'M S', 'lastName': 'Nandini', 'initials': 'MS', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Microbiology, Sree Balaji Medical College and Hospital, Chromepet, Chennai, Tamil Nadu, India.'}}}, {'fullName': 'Vimalarani', 'lastName': 'Vimalarani', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Physiology, Sree Balaji Medical College and Hospital, Chromepet, Chennai, Tamil Nadu, India.'}}}, {'fullName': 'Vijayalakshmi P', 'firstName': 'Periyasamy', 'lastName': 'Vijayalakshmi', 'initials': 'P', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Biotechnology and Bioinformatics, Holy Cross College (Autonomous) (Affiliated to Bharathidasan University), Thiruchirappalli, Tamil Nadu, India.'}}}]}"
dataLinksTagsList,{'dataLinkstag': 'supporting_data'}
journalInfo,"{'issue': 'Suppl 5', 'volume': '16', 'journalIssueId': '3912800', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Journal of pharmacy & bioallied sciences', 'ISOAbbreviation': 'J Pharm Bioallied Sci', 'medlineAbbreviation': 'J Pharm Bioallied Sci', 'NLMid': '101537209', 'ISSN': '0976-4879', 'ESSN': '0975-7406'}}"
pubYear,2024
pageInfo,S4792-S4799
abstractText,"<h4>Background</h4>Oral cancer is the sixth most common cancer occurring anywhere in the globe. Cancers of the mouth are caused by tobacco and alcohol overuse, and also between pre-malignancy and full-fledged malignancy. In order to avoid the onset of illness, proper cleanliness of the mouth is important.<h4>Objective</h4>In this study we aimed to identify the potential inhibitor for Aurora kinase B as a potential therapeutic target for oral cancer from the phytocompounds from <i>Ocimum sanctum</i>.<h4>Methodology</h4>Compounds from <i>Ocimum sanctum</i> were screened against Aurora kinase B using a structure-based virtual screening approach using Pyrx software. Based on the scoring parameters best compounds were chosen to analysis the interaction by using Discovery studio visualizer.<h4>Results</h4>Four compounds-pedunculin, nevadensin, chrysoeriol, and genistein were selected as the most promising leads based on the scoring parameter.<h4>Conclusion</h4>These chemicals could be potential therapeutic candidates that need to be investigated further in the laboratory."
affiliation,"Department of Public Health Dentistry, Thai Moogambigai Dental College and Hospital, Dr. M.G.R. Educational and Research Institute, Chennai, Tamil Nadu, India."
publicationStatus,ppublish
language,eng
pubModel,Print-Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['Molecular docking', 'Oral Cancer', 'Ocimum Sanctum', 'Aurora Kinase B']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.4103/jpbs.jpbs_1251_24'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11888753'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,N
hasBook,N
hasSuppl,N
citedByCount,0
hasData,Y
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by-nc-sa
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,Y
tmAccessionTypeList,{'accessionType': 'pdb'}
dateOfCreation,2025-03-10
firstIndexDate,2025-03-11
fullTextReceivedDate,2025-03-17
dateOfRevision,2025-03-11
electronicPublicationDate,2025-01-30
firstPublicationDate,2024-12-01
