,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39830533
source,MED
pmid,39830533
pmcid,PMC11739816
fullTextIdList,{'fullTextId': 'PMC11739816'}
doi,10.7759/cureus.75920
title,Uncovering the Role of Indian Medicinal Botanicals in COVID-19 Prevention and Management: A Review.
authorString,"Rao DMS, Mishra J, Vasudeo Damodar S, Gajendra Bagal J, S VK, Ammu Joseph R, Karra T, Shrivastava R."
authorList,"{'author': [{'fullName': 'Rao DMS', 'firstName': 'D Meena S', 'lastName': 'Rao', 'initials': 'DMS', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botany, R. K. Talreja College of Arts, Science and Commerce, Thane, IND.'}}}, {'fullName': 'Mishra J', 'firstName': 'Jyotsana', 'lastName': 'Mishra', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Forestry, Mahatma Gandhi University of Horticulture and Forestry, Sankra-Patan, IND.'}}}, {'fullName': 'Vasudeo Damodar S', 'firstName': 'Sarwade', 'lastName': 'Vasudeo Damodar', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Chemistry, Jamkhed Mahavidyalaya Jamkhed, Jamkhed, IND.'}}}, {'fullName': 'Gajendra Bagal J', 'firstName': 'Jalindarnath', 'lastName': 'Gajendra Bagal', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botany, Eknath Sitaram Divekar College, Varvand, IND.'}}}, {'fullName': 'S VK', 'firstName': 'Vinayaka K', 'lastName': 'S', 'initials': 'VK', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botany, Sri Venkataramana Swamy College, Vidyagiri, IND.'}}}, {'fullName': 'Ammu Joseph R', 'firstName': 'Renju', 'lastName': 'Ammu Joseph', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botany, Fatima Mata National College, Kollam, IND.'}}}, {'fullName': 'Karra T', 'firstName': 'Theresa', 'lastName': 'Karra', 'initials': 'T', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""Department of Zoology, St. Joseph's University, Bengaluru, IND.""}}}, {'fullName': 'Shrivastava R', 'firstName': 'Ruchita', 'lastName': 'Shrivastava', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Botany, Govt. Home Science PG College, Narmadapuram, IND.'}}}]}"
journalInfo,"{'issue': '12', 'volume': '16', 'journalIssueId': '3863418', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Cureus', 'ISOAbbreviation': 'Cureus', 'medlineAbbreviation': 'Cureus', 'NLMid': '101596737', 'ISSN': '2168-8184', 'ESSN': '2168-8184'}}"
pubYear,2024
pageInfo,e75920
abstractText,"Indian traditional medicine, based on Ayurveda and Siddha, has become one of the global searches for complementary approaches to conventional interventions during the COVID-19 pandemic. This review presents the antiviral, immune-boosting, and anti-inflammatory properties of some medicinal key plants such as Tulsi (<i>Ocimum sanctum</i>), Neem (<i>Azadirachta indica</i>), Ashwagandha (<i>Withania somnifera</i>), Amla (<i>Emblica officinalis</i>), and Giloy (<i>Tinospora cordifolia</i>). Tulsi appears to inhibit viral replication, Neem increases immune cell synthesis, while Ashwagandha regulates inflammation and stress responses. Vitamin C-rich Amla increases immune defense while also providing protection against oxidative stress and Giloy modulates immune response and its activity, acting as an overall resilience against infection. However, the clinical integration of these plants into mainstream healthcare is hindered by the absence of robust clinical trials, standardization of phytochemicals, and the absence of global standard protocols. In order to establish safety and efficacy, substantial research is needed, including large-scale randomized clinical trials and sophisticated bioinformatics techniques. Indian medicinal plants provide innovative, sustainable, and holistic solutions to global health crises, such as the COVID-19 pandemic, by bridging traditional knowledge with modern scientific frameworks."
affiliation,"Department of Botany, R. K. Talreja College of Arts, Science and Commerce, Thane, IND."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['review-article', 'Review', 'Journal Article']}"
keywordList,"{'keyword': ['Medicinal plants', 'Antioxidant', 'Anti-inflammatory', 'Ayurveda', 'Covid-19', 'Immune-boosting']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.7759/cureus.75920'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11739816'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11739816?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2025-01-20
firstIndexDate,2025-01-22
fullTextReceivedDate,2025-01-21
dateOfRevision,2025-01-29
electronicPublicationDate,2024-12-18
firstPublicationDate,2024-12-18
