,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39769546
source,MED
pmid,39769546
pmcid,PMC11677418
fullTextIdList,{'fullTextId': 'PMC11677418'}
doi,10.3390/insects15120945
title,"The Species of the <i>mali</i>-Group of <i>Aphelinus</i> (Hymenoptera: Aphelinidae), with Descriptions of Three New Species, DNA Sequence Data and One Newly-Recorded Species from China."
authorString,"Dong Z, Luo Y, Ge J, Huang J, Polaszek A, Wang Z."
authorList,"{'author': [{'fullName': 'Dong Z', 'firstName': 'Zhigang', 'lastName': 'Dong', 'initials': 'Z', 'authorId': {'@type': 'ORCID', '#text': '0009-0004-6760-8720'}, 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou 350002, China.'}, {'affiliation': 'Institute of Biotechnology, Fujian Academy of Agricultural Sciences, Fuzhou 350003, China.'}]}}, {'fullName': 'Luo Y', 'firstName': 'Ye', 'lastName': 'Luo', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou 350002, China.'}}}, {'fullName': 'Ge J', 'firstName': 'Junqing', 'lastName': 'Ge', 'initials': 'J', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-9563-9872'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Institute of Biotechnology, Fujian Academy of Agricultural Sciences, Fuzhou 350003, China.'}}}, {'fullName': 'Huang J', 'firstName': 'Jian', 'lastName': 'Huang', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou 350002, China.'}}}, {'fullName': 'Polaszek A', 'firstName': 'Andrew', 'lastName': 'Polaszek', 'initials': 'A', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-7171-3353'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Science: Research, Natural History Museum, London SW7 5BD, UK.'}}}, {'fullName': 'Wang Z', 'firstName': 'Zhuhong', 'lastName': 'Wang', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou 350002, China.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0002-7171-3353'}, {'@type': 'ORCID', '#text': '0000-0002-9563-9872'}, {'@type': 'ORCID', '#text': '0009-0004-6760-8720'}]}"
dataLinksTagsList,"{'dataLinkstag': ['altmetrics', 'supporting_data']}"
journalInfo,"{'issue': '12', 'volume': '15', 'journalIssueId': '3876489', 'dateOfPublication': '2024 Nov', 'monthOfPublication': '11', 'yearOfPublication': '2024', 'printPublicationDate': '2024-11-01', 'journal': {'title': 'Insects', 'ISOAbbreviation': 'Insects', 'medlineAbbreviation': 'Insects', 'NLMid': '101574235', 'ISSN': '2075-4450', 'ESSN': '2075-4450'}}"
pubYear,2024
pageInfo,945
abstractText,"Seventeen species of the <i>mali</i>-group of <i>Aphelinus</i> (Hymenoptera: Aphelinidae) are reviewed worldwide, including three new species, and five previously described species in China. The <i>mali</i>-group was defined by a combination of characters: head and body dark with parts of metasoma pale; fore wing with a complete row of setae inside the linea calva, or also only with a few setae in the angle between the linea and marginal vein; legs with mesocoxae, metacoxae and metatibia dark, metafemur pale. In this paper, three new species, <i>Aphelinus tuberocephalus</i> Wang & Huang, <b>sp.n.</b>, <i>Aphelinus hainanensis</i> Wang & Huang, <b>sp.n.</b> and <i>Aphelinus ruellia</i> Wang & Huang, <b>sp.n.</b>, are described and illustrated, with notes on one species, <i>Aphelinus coreae</i> Hopper & Woolley, new to China. A revised key to species of the <i>mali</i>-group is provided. Mitochondrial (COI) partial sequences were obtained successfully for <i>A. tuberocephalus</i>, <i>A. hainanensis</i>, <i>A. ruellia</i> and <i>A. coreae</i>."
affiliation,"State Key Laboratory of Ecological Pest Control for Fujian and Taiwan Crops, Fujian Agriculture and Forestry University, Fuzhou 350002, China."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
grantsList,"{'grant': [{'grantId': '2023YFE0123000', 'agency': 'National Key R&D Program of China', 'orderIn': '0'}, {'grantId': '2023YFE0123000', 'agency': 'National Key R&amp;D Program of China', 'orderIn': '0'}, {'grantId': '2021J01064', 'agency': 'Natural Science Foundation of Fujian Province', 'orderIn': '0'}, {'grantId': '32172495', 'agency': 'National Natural Science Foundation of China', 'orderIn': '0'}]}"
keywordList,"{'keyword': ['Taxonomy', 'Aphididae', 'Aphidoidea', 'Biocontrol', 'COI', 'Aphid Parasitoids']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/insects15120945'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11677418'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11677418?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
