,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39816127
source,MED
pmid,39816127
pmcid,PMC11731918
fullTextIdList,{'fullTextId': 'PMC11731918'}
doi,10.52225/narra.v4i3.990
title,The ethanol extract of &lt;i&gt;Sargassum duplicatum&lt;/i&gt; as an ovicidal agent against &lt;i&gt;Aedes aegypti&lt;/i&gt;.
authorString,"Giyantolin G, Subiakto Y, Poerwanto SH."
authorList,"{'author': [{'fullName': 'Giyantolin G', 'firstName': 'Giyantolin', 'lastName': 'Giyantolin', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Yogyakarta, Indonesia.'}, {'affiliation': 'Department of Epidemiology and Tropical Disease, Faculty of Public Health, Universitas Diponegoro, Semarang, Indonesia.'}]}}, {'fullName': 'Subiakto Y', 'firstName': 'Yuli', 'lastName': 'Subiakto', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Military Pharmacy, Faculty of Military Pharmacy, Universitas Pertahanan Indonesia, Jawa Barat, Indonesia.'}}}, {'fullName': 'Poerwanto SH', 'firstName': 'Soenarwan H', 'lastName': 'Poerwanto', 'initials': 'SH', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Yogyakarta, Indonesia.'}}}]}"
journalInfo,"{'issue': '3', 'volume': '4', 'journalIssueId': '3887220', 'dateOfPublication': '2024 Dec', 'monthOfPublication': '12', 'yearOfPublication': '2024', 'printPublicationDate': '2024-12-01', 'journal': {'title': 'Narra J', 'ISOAbbreviation': 'Narra J', 'medlineAbbreviation': 'Narra J', 'NLMid': '9918625888906676', 'ISSN': '2807-2618', 'ESSN': '2807-2618'}}"
pubYear,2024
pageInfo,e990
abstractText,"Dengue hemorrhagic fever (DHF) is a major health concern in tropical and subtropical countries. Indonesia has DHF cases perennially every year. On the other hand, Indonesia is abundant with seaweed <i>(Sargassum duplicatum</i>), which can be found across its seashore. The macroalgae contains secondary metabolites with ovicidal activity; hence, it has the potential to be utilized in suppressing the <i>Aedes aegypti</i>. The aim of this study was to determine the ovicidal activity of <i>S. duplicatum</i> against the <i>Ae. aegypti</i> eggs. The algae were macerated with ethanol 70% before being subjected to qualitative phytochemical screenings. The ovicidal tests were conducted with an extract concentration of 50 ppm, 100 ppm, 500 ppm, 1000 ppm, and 1500 ppm, while distilled water was used as the control. The hatchability of <i>Ae. aegypti</i> was observed 24 hours a day for 4 days and the larval development was investigated under a microscope. Phytochemical screenings revealed that the extract was positive containing alkaloids, flavonoids, steroids, saponins, and phenols. The hatchability of <i>Ae. aegypti</i> eggs were significantly reduced following the <i>S. duplicatum</i> extract exposure for four days (<i>p</i>=0.000). The extract had LC<sub>50</sub> of 828.653 ppm and LC<sub>50</sub> of 1786.09 ppm for the ovicidal activity against <i>Ae. aegypti</i> eggs. The concentration of ethanol extract of <i>S. duplicatum</i> did not affect the mosquito development from larvae to adult stage (<i>p</i>=0.263). Further research is needed to explore the effect of specific compounds contained in the <i>S. duplicatum</i> and investigate their ovicidal potential."
affiliation,"Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Yogyakarta, Indonesia."
publicationStatus,ppublish
language,eng
pubModel,Print-Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
meshHeadingList,"{'meshHeading': [{'majorTopic_YN': 'Y', 'descriptorName': 'Ovum', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'DE', 'qualifierName': 'drug effects', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'N', 'descriptorName': 'Animals'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Aedes', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'DE', 'qualifierName': 'drug effects', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Sargassum', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'N', 'descriptorName': 'Ethanol'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Plant Extracts', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'PD', 'qualifierName': 'pharmacology', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Insecticides', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'PD', 'qualifierName': 'pharmacology', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'N', 'descriptorName': 'Larva', 'meshQualifierList': {'meshQualifier': {'abbreviation': 'DE', 'qualifierName': 'drug effects', 'majorTopic_YN': 'N'}}}, {'majorTopic_YN': 'N', 'descriptorName': 'Indonesia'}]}"
keywordList,"{'keyword': ['Aedes aegypti', 'Secondary metabolite', 'Phytochemical', 'Ovicidal', 'Sargassum Duplicatum']}"
chemicalList,"{'chemical': [{'name': 'Plant Extracts', 'registryNumber': '0'}, {'name': 'Insecticides', 'registryNumber': '0'}, {'name': 'Ethanol', 'registryNumber': '3K9958V90M'}]}"
subsetList,"{'subset': {'code': 'IM', 'name': 'Index Medicus'}}"
