,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,40003799
source,MED
pmid,40003799
pmcid,PMC11856743
fullTextIdList,{'fullTextId': 'PMC11856743'}
doi,10.3390/insects16020169
title,New Records of <i>Phenacoccus solenopsis</i> Natural Enemies in Europe and Taxonomic Additions on <i>Anagyrus matritensis</i>.
authorString,"Ricupero M, Porcu E, Russo A, Zappalà L, Siscaro G."
authorList,"{'author': [{'fullName': 'Ricupero M', 'firstName': 'Michele', 'lastName': 'Ricupero', 'initials': 'M', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-5392-7553'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agriculture, Food and Environment, University of Catania, 95123 Catania, Italy.'}}}, {'fullName': 'Porcu E', 'firstName': 'Emanuele', 'lastName': 'Porcu', 'initials': 'E', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agriculture, University of Reggio Calabria, Feo di Vito, 89122 Reggio Calabria, Italy.'}}}, {'fullName': 'Russo A', 'firstName': 'Agatino', 'lastName': 'Russo', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agriculture, Food and Environment, University of Catania, 95123 Catania, Italy.'}}}, {'fullName': 'Zappalà L', 'firstName': 'Lucia', 'lastName': 'Zappalà', 'initials': 'L', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agriculture, Food and Environment, University of Catania, 95123 Catania, Italy.'}}}, {'fullName': 'Siscaro G', 'firstName': 'Gaetano', 'lastName': 'Siscaro', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-6802-1949'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Agriculture, Food and Environment, University of Catania, 95123 Catania, Italy.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0001-5392-7553'}, {'@type': 'ORCID', '#text': '0000-0001-6802-1949'}]}"
dataLinksTagsList,"{'dataLinkstag': ['altmetrics', 'supporting_data']}"
journalInfo,"{'issue': '2', 'volume': '16', 'journalIssueId': '3905552', 'dateOfPublication': '2025 Feb', 'monthOfPublication': '2', 'yearOfPublication': '2025', 'printPublicationDate': '2025-02-01', 'journal': {'title': 'Insects', 'ISOAbbreviation': 'Insects', 'medlineAbbreviation': 'Insects', 'NLMid': '101574235', 'ISSN': '2075-4450', 'ESSN': '2075-4450'}}"
pubYear,2025
pageInfo,169
abstractText,"The cotton mealybug <i>Phenacoccus solenopsis</i> (Hemiptera: Pseudococcidae) is a polyphagous invasive species native to America and considered one of the major cotton pests in Asia. It is currently threatening horticultural and ornamental protected crops in Mediterranean countries. Due to ecological and environmental concerns, the conventional chemical control of <i>P. solenopsis</i> in new areas of introduction is being replaced by exploring the potential of indigenous natural enemies as a sustainable biological control tool. After <i>P. solenopsis</i> introduction in Sicily (Italy), field surveys were conducted on native natural enemies attacking the mealybug to select promising biocontrol agents for field applications. For the first time, <i>Aenasius arizonensis</i> (Hymenoptera: Encyrtidae) was reported in Europe, and the native <i>Anagyrus matritensis</i> (Hymenoptera: Encyrtidae) was recorded in association with <i>P. solenopsis</i>. The two parasitoid species were identified by morphological features and molecularly using a portion of the mitochondrial cytochrome oxidase subunit I (mtCOI) gene. Because of missing information, additional morphological features were provided for the morphological identification of <i>A. matritensis</i>. In addition, the generalist predators <i>Cryptolaemus montrouzieri</i>, <i>Hippodamia variegata</i> and <i>Parexochomus nigripennis</i> (Coleoptera: Coccinellidae) were also recorded attacking the invasive mealybug."
affiliation,"Department of Agriculture, Food and Environment, University of Catania, 95123 Catania, Italy."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
grantsList,"{'grant': [{'grantId': '101136611', 'agency': 'the European Union’s Horizon Europe research and innovation programme', 'orderIn': '0'}, {'grantId': '101136611', 'agency': ""the European Union's Horizon Europe research and innovation programme (NextGenBioPest project)"", 'orderIn': '0'}, {'grantId': 'E73C22000240006', 'agency': 'Agroecology-inspired Strategies and Tools to Enhance Resilience and ecosystem services in to-mato crop"" (ASTER), PRIMA SECTION 2 2021 - MULTI-TOPIC', 'orderIn': '0'}, {'agency': 'Prima Section 2 2021-MULTI-TOPIC', 'orderIn': '0'}, {'agency': 'the project “Agroecology-inspired Strategies and Tools to Enhance Resilience and ecosystem services in tomato crop”', 'orderIn': '0'}, {'grantId': 'CN00000022', 'agency': 'the Agritech National Research Center, and received funding from the European Union Next-Generation EU', 'orderIn': '0'}, {'grantId': 'CN00000022', 'agency': 'the European Union Next-Generation EU (PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR) - MISSIONE 4 COMPONENTE 2, INVESTIMENTO 1.4 - D.D. 1032 17/06/2022', 'orderIn': '0'}]}"
keywordList,"{'keyword': ['Tomato', 'Biocontrol', 'Parasitoid', 'Anagyrus', 'Morphological identification', 'Barcoding', 'Cotton Mealybug', 'Aenasius Arizonensis']}"
