,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39273957
source,MED
pmid,39273957
pmcid,PMC11397074
fullTextIdList,{'fullTextId': 'PMC11397074'}
doi,10.3390/plants13172474
title,From Stand to Forest: Woody Plant Recruitment in an Andean Restoration Project.
authorString,"Piquer-Doblas M, Correa-Londoño GA, Osorio-Vélez LF."
authorList,"{'author': [{'fullName': 'Piquer-Doblas M', 'firstName': 'Marina', 'lastName': 'Piquer-Doblas', 'initials': 'M', 'authorId': {'@type': 'ORCID', '#text': '0009-0000-8073-3332'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Ciencias Forestales, Facultad de Ciencias Agrarias, Universidad Nacional de Colombia, Medellín 50034, Colombia.'}}}, {'fullName': 'Correa-Londoño GA', 'firstName': 'Guillermo A', 'lastName': 'Correa-Londoño', 'initials': 'GA', 'authorId': {'@type': 'ORCID', '#text': '0000-0001-7020-2546'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Ciencias Agronómicas, Facultad de Ciencias Agrarias, Universidad Nacional de Colombia, Medellín 50034, Colombia.'}}}, {'fullName': 'Osorio-Vélez LF', 'firstName': 'Luis F', 'lastName': 'Osorio-Vélez', 'initials': 'LF', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Departamento de Ciencias Forestales, Facultad de Ciencias Agrarias, Universidad Nacional de Colombia, Medellín 50034, Colombia.'}}}]}"
authorIdList,"{'authorId': [{'@type': 'ORCID', '#text': '0000-0001-7020-2546'}, {'@type': 'ORCID', '#text': '0009-0000-8073-3332'}]}"
journalInfo,"{'issue': '17', 'volume': '13', 'journalIssueId': '3828957', 'dateOfPublication': '2024 Sep', 'monthOfPublication': '9', 'yearOfPublication': '2024', 'printPublicationDate': '2024-09-01', 'journal': {'title': 'Plants (Basel, Switzerland)', 'ISOAbbreviation': 'Plants (Basel)', 'medlineAbbreviation': 'Plants (Basel)', 'NLMid': '101596181', 'ISSN': '2223-7747', 'ESSN': '2223-7747'}}"
pubYear,2024
pageInfo,2474
abstractText,"The growing deforestation of tropical forests requires the implementation of restoration actions capable of assisting the recovery of biodiversity and the functioning of these ecosystems. This research aimed to identify the environmental factors that influence the abundance and diversity of woody plant recruitment in an Andean forest restoration project in Medellin (Colombia). Data from woody plant individuals taller than 80 cm were collected in 22 plots of 200·m<sup>-2</sup>. The environmental factors selected were edaphic variables, plantation structure, slope, elevation, prior land use, and landscape forest cover. Generalized linear models (GLM) were used to analyze recruitment densit and Linear Mixed Models (LMM) to assess recruited species richness, diversity, and dominance. Woody plant recruitment attributes in our study area were similar to those of secondary succession in an Andean forest, but planted trees contributed little to recruitment density and diversity. While recruitment density was affected by slope, canopy closure, and landscape forest cover, recruitment diversity was influenced by physical (bulk density) and chemical (pH, aluminum, Cation Exchange Capacity) edaphic factors, planted tree diversity (species richness and composition), canopy closure, and the mortality rate of planted trees. We conclude that sites with lower mortality rates of planted trees and denser canopies enhance both recruitment density and diversity, indicating a synergy between active restoration and passive regeneration processes."
affiliation,"Departamento de Ciencias Forestales, Facultad de Ciencias Agrarias, Universidad Nacional de Colombia, Medellín 50034, Colombia."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
grantsList,"{'grant': {'grantId': '029-2023', 'agency': 'Doctoral Studies Support Program from Instituto de Estudios Ambientales of Universidad Nacional de Colombia and the Center for Development Research of University of Bonn agreement', 'orderIn': '0'}}"
keywordList,"{'keyword': ['Mixed plantation', 'Andes', 'Native species', 'natural regeneration', 'Colombia', 'Active Restoration']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/plants13172474'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11397074'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11397074?pdf=render'}]}"
commentCorrectionList,"{'commentCorrection': {'id': 'PPR880311', 'source': 'PPR', 'type': 'Preprint in', 'note': 'CrossRef Pre-print loader', 'orderIn': '10002'}}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2024-09-14
firstIndexDate,2024-09-15
fullTextReceivedDate,2024-10-28
dateOfRevision,2024-09-16
electronicPublicationDate,2024-09-04
firstPublicationDate,2024-09-04
